,number,rate,title,url,id,directors,year,actors,type,countries,summary
385,386,6.4,巴黎危机,https://movie.douban.com/subject/25834333/,25834333,詹姆斯·瓦特金斯,2016,"伊德里斯·艾尔巴,理查德·麦登,凯利·蕾莉,夏洛特·勒·邦","剧情,动作",法国,执行卧底行动的美国中情局特工肖恩·布瑞尔（伊德里斯·艾尔巴 Idris Elba 饰）接到了一个新任务：他必须调查一个叫迈克尔·梅森（理查德·麦登 Richard Madden 饰）的美国职业骗子，因为这位年轻人可能会让美国官方遭受恐怖袭击巴黎的错误指控。但随着巴黎恐怖袭击的升级，特工意识到这位年轻人是无辜的，并且是他找到幕后真凶的唯一线索……
386,387,6.8,该死的歌德2,https://movie.douban.com/subject/25898409/,25898409,博拉·达格特肯,2015,"卡洛琳·赫弗斯,埃利亚斯·穆巴里克,卡嘉·瑞曼",喜剧,德国,"影片由德国年度卖座冠军电影《该死的歌德》原班人马接力打造。讲述了痞子泽基（埃利亚斯·穆巴里克饰）刚刚出狱，找到了藏有以前抢来的赃款的地方，谁知那里居然建了一所歌德学校。于是他装成代课老师混进学校，找寻藏匿的地点。
然而，这一次，泽基老师(埃利亚斯·穆巴里克 饰演)要带他的学生们来到泰国校外教学以强化他们的校誉。
《该死的歌德2》开场依旧以高度密集的非正确幽默维持观众期待，将班级郊游作为教学竞争的扩展区域，并将学校排名、支援预算、生态致力和助学措施等相关领域贯穿始终，影片相较于前作更立体地塑造个别配角，但类似《宿醉2》将基本情节元素在异国背景下回收，且受制于包括泰国孤儿在内的支线内容。
以《土耳其语初学者》成名的导演博拉•达格特肯携主演埃利亚斯•穆巴里克原班人马打造的这部续集去年九月上映后以770万观影人数超越《脑中蜜》成为德国年度票房冠军 两周就吸引到五百万观众"
387,388,7.4,精灵王座,https://movie.douban.com/subject/26290390/,26290390,宋岳峰,2016,"王梓,陶典,季冠霖,黄莺",动画,中国大陆,“人类少年小鱼受邀前往遥远神秘的精灵王国，参加精灵女王的婚礼。借此机会，他终于可以见到阔别已久的精灵女友莉雅。 黑暗精灵携大军突然闯入，胁迫女王交出传说中掌控精灵命脉、拥有至高力量的生命宝玉。在遭到反抗后，黑暗精灵强行劫走了女王。 精灵王国陷入惶恐，被卷入纷争的小鱼为了保护莉雅，毅然同精灵们一起踏上营救女王的冒险，可他没有想到的是，这次征途不仅充满危险，还将是对他以及他们间爱情的巨大考验。
388,389,6.1,日暮之歌,https://movie.douban.com/subject/10565195/,10565195,特伦斯·戴维斯,2015,"阿格妮丝·迪恩,彼得·穆兰,凯文·格思里,伊恩·皮里",剧情,英国,影片改编自格拉西克·吉本《苏格兰的书》三部曲中的第一本。男主角英勇的投入战斗并死于第一次世界大战，女主人公克里斯受过教育却被土地束缚，飞快的从女孩变成妻子又变成遗孀，让人振奋又心碎。它的语言音乐般美妙、抒情，就像它描述的这片土地一样的美丽。跟随着他们我们经历了一生，目睹了农民生活以及古老的苏格兰本身。
389,390,5.6,狙击手：幽灵射手,https://movie.douban.com/subject/26802286/,26802286,唐·迈克尔·保罗,2016,"丹尼斯·海斯伯特,斯蒂芬妮·沃格特,尼克·戈麦斯,查德·科林斯","剧情,动作,战争",美国,精英狙击手布兰登·贝克特和理查德·米勒负责保护一个重要目标。在与敌人战斗时被未知目标射击，谁知道了他们的确切位置？ 谁与敌人有联系？谁与敌人达成了秘密的交易？ 谁是幕后黑手？
390,391,7.1,香肠派对,https://movie.douban.com/subject/4944008/,4944008,康拉德·弗农,2016,"塞斯·罗根,克里斯汀·韦格,詹姆斯·弗兰科,乔纳·希尔","喜剧,动画,冒险",美国,"故事发生在一间大超市之中，在陈列在此的商品间，流传着一个古老的传说，某一日，那位名为“顾客”的上帝会现身此处，把你带回家，从此你将登上人生的巅峰，享受无上的荣光。香肠弗兰克（塞斯·罗根 Seth Rogen 配音）和他的女友热狗面包布兰达（克里斯汀·韦格 Kristen Wiig 配音）最大的愿望，就是能被同一位顾客买回家，这样方可以过上向往已久的“合体”生活。
然而，一瓶曾经被顾客买走之后又被退回超市的蜂蜜芥末（丹尼·麦克布耐德 Danny McBride 配音）却道出了事件的真相，那就是，根本不存在什么上帝，也并没有天堂，等待着它们的，有的只有残忍的生吞活剥，骨肉分离。为了验证蜂蜜芥末的话，弗兰克找到了神秘的龙舌兰酒（比尔·哈德尔 Bill Hader 配音），与此同时，因为意外而跌落货架滚至别处的布兰达亦和同样遭遇的甜甜圈萨米（爱德华·诺顿 Edward Norton 配音）、亚美尼亚面包拉瓦西（大卫·克鲁霍尔特兹 David Krumholtz 配音）一起，寻找回家的路。©豆瓣"
391,392,7.7,贝利：传奇的诞生,https://movie.douban.com/subject/3073268/,3073268,杰夫·泽姆巴利斯特,2016,"凯文·德·保拉,莱昂纳多·利马·卡瓦柳,索·豪黑,马丽雅娜·努涅斯","剧情,传记,运动",美国,讲述了球王贝利从一个普通的巴西贫民靠自己的努力，成为足球世界的最强者的故事。
392,393,6.6,麦吉的计划,https://movie.douban.com/subject/25827129/,25827129,丽贝卡·米勒,2015,"朱丽安·摩尔,伊桑·霍克,格蕾塔·葛韦格,崔维斯·费米尔",喜剧,美国,30多岁的麦吉是一名在教育行业工作的纽约客，她活力四射、颇为实际，虽然未能找到真爱，但她仍在此时决定独立养育一个孩子。然而，当遇到一个叫约翰的人类学教授和作家时，她一见钟情并调整了自己做母亲的计划。而更复杂的问题是，约翰与一名醉心工作的学者——乔吉特有一段不幸福的婚姻。玛吉在一对夫妻的帮助下开展了一个计划，也使几个人出人意料地联系在一起。最终，麦吉明白有时命运需要的是自然而然的行驶而非刻意。
393,394,6.8,如果上帝愿意,https://movie.douban.com/subject/26392522/,26392522,爱德华多·玛利亚·法尔科内,2015,"马可·贾利尼,亚利桑德罗·加斯曼,劳拉·莫瑞特,伊拉丽娜·斯帕达",喜剧,意大利,"一个高富帅大叔医生在一个高富帅大叔神父的指引下找回人生乐趣的故事23333虽然都是套路，但俩大叔可爱了~在一起！在一起！！！
什么是一个独裁的父亲，无神论者，这被认为是自由的，当他的儿子告诉他，他想成为一个牧师？"
394,395,7.6,她,https://movie.douban.com/subject/26022182/,26022182,保罗·范霍文,2016,"伊莎贝尔·于佩尔,罗兰·拉斐特,安妮·康斯金尼,查尔斯·贝尔林","剧情,惊悚",法国,"米歇尔（伊莎贝尔·于佩尔 Isabelle Huppert 饰）是一家游戏公司的老板，在同事和朋友们眼中，她为人冷淡疏离，行事雷厉风行，是一个无坚不摧的女人。可是，就在某一天晚上，米歇尔被闯入家中的蒙面暴徒强暴了。
米歇尔没有报警，因为她的父亲曾是臭名昭著的连环杀人犯，而作为他的女儿，米歇尔再也不想和警方和媒体打交道了，她决定依靠自己的力量查出事件的真相。米歇尔要解决的麻烦还有很多，她的儿子娶了一个咄咄逼人的女人，她的母亲即将嫁给一个比她年纪还要小的男人，她的前夫有了新的约会对象，而她正在和她最好的朋友的丈夫偷情。某一日，暴徒再度潜入了米歇尔家中，这一次，米歇尔看清了他的面貌。©豆瓣"
