0,"-0.550253,","-0.382298,","0.456987,","0.524105,","-0.656784,","0.627303,","-0.367291,","0.501557,","0.08447,","0.15516,","-0.050876,","-0.766401,","-0.840329,","0.095629,","-0.109082,","0.053984,","-0.434478,","-0.177481,","-0.184909,","-0.061138,","0.681747,","-0.598016,","0.368963,","-0.062355,","-0.025016,","-0.23184,","0.248809,","-0.065675,","0.403405,","-0.069405,","-1.003453,","-0.24383,","0.091403,","0.108627,","0.555699,","-0.334708,","0.825396,","-0.454428,","0.006208,","-0.110763,","0.051831,","-0.473103,","0.040276,","0.319481,","0.018522,","0.058991,","1.015793,","-0.09999,","-0.654875,","-0.153283,","0.090747,","-0.243099,","0.277125,","-0.044881,","0.830814,","-0.193854,","0.771824,","0.103859,","-0.822983,","0.809547,","0.055547,","0.048007,","-0.802455,","-0.635517,","0.033362,","0.386331,","-0.592197,","0.042545,","0.290751,","-0.002838,","-0.256263,","-0.237417,","0.139264,","-0.209077,","-0.045876,","0.033305,","-0.347783,","0.236889,","-0.05455,","0.13444,","-0.424749,","-0.483523,","0.240054,","-0.028558,","-0.374193,","0.397306,","-0.780312,","-0.084627,","0.030527,","0.956312,","-0.244907,","0.910911,","0.024972,","-0.317471,","-0.45957,","0.146976,","-0.580717,","-0.294121,","-0.127926,","-0.14024,","0.440811,","0.161614,","0.306379,","-0.315731,","-0.226512,","-0.281346,","-0.067224,","-0.7261,","0.852162,","0.365928,","0.575219,","-0.416671,","0.207534,","0.371275,","0.004366,","-1.113157,","0.278883,","-0.00674,","0.386446,","0.394103,","0.626174,","-0.393804,","0.027682,","-0.183314,","-0.200472,","0.789673,","0.188911,",0.62122
1,"0.301204,","-0.483048,","1.142762,","0.264662,","-0.424343,","-0.689385,","-0.569214,","0.444785,","1.086947,","-0.595788,","-0.236444,","-0.839268,","0.114329,","-0.23743,","-0.008074,","0.31132,","-0.331473,","0.497101,","-0.183987,","-0.429358,","0.316156,","-0.987445,","0.448091,","0.002896,","-0.052396,","-0.073421,","-0.538885,","0.244293,","0.247731,","0.39245,","-0.699509,","-0.435961,","-0.297825,","-0.140651,","0.689477,","-0.224774,","-0.059887,","-0.851794,","0.4862,","-0.064732,","-0.10475,","-0.203279,","-0.032359,","0.388857,","0.183176,","-0.935591,","0.275048,","-0.521923,","-0.395485,","-0.164293,","0.056943,","-0.129406,","0.368205,","-0.138472,","0.404727,","0.037771,","0.81367,","0.402966,","-0.546224,","0.867371,","0.594098,","-0.282082,","-0.600455,","-0.275189,","-0.235719,","0.40498,","-0.884853,","0.221837,","0.786144,","-0.004568,","-0.363288,","0.120432,","-0.144891,","-0.333566,","0.200841,","0.026077,","0.147834,","0.162395,","0.480216,","0.076467,","-0.235459,","-0.12596,","0.550247,","-0.7026,","-0.297948,","-0.239985,","-0.867424,","0.364588,","-0.959504,","0.383105,","-0.493651,","0.298213,","0.174193,","0.11607,","-0.517525,","0.457412,","0.010663,","-0.014793,","0.049621,","-0.025306,","-0.052791,","-0.153968,","0.187612,","0.175825,","0.012954,","0.173479,","0.591922,","0.204885,","0.643203,","-0.224548,","1.323922,","-0.625909,","-0.076929,","0.401703,","0.14862,","-0.725065,","0.391212,","-0.889097,","0.313748,","0.318789,","0.536211,","-0.431609,","-0.025296,","0.299141,","0.164812,","0.467581,","0.342462,",0.633489
2,"-0.980393,","0.136824,","0.806567,","-0.062271,","-0.374821,","0.201033,","-0.693617,","0.292481,","-0.040998,","0.208529,","0.486527,","-0.340867,","-0.241923,","0.158189,","0.228699,","0.352986,","-0.444388,","0.604635,","-0.084479,","0.175964,","0.737509,","-0.394005,","-0.164755,","0.10101,","-0.307858,","-0.761715,","-0.319593,","0.60796,","-0.077302,","0.427535,","-0.115426,","-0.326652,","-0.084404,","-0.329927,","0.619529,","0.20917,","-0.296389,","-0.174075,","0.384629,","-0.164166,","0.197006,","-0.01623,","0.092337,","0.1015,","-0.20848,","-0.665056,","0.11641,","-0.061458,","0.062375,","-0.275784,","0.217814,","-0.055234,","-0.024749,","0.109469,","0.346737,","-0.268594,","0.699224,","0.171638,","0.445507,","0.477907,","-0.001663,","0.751315,","-0.251472,","-0.60757,","0.354182,","0.51865,","0.047392,","0.33977,","0.463149,","0.221834,","0.292727,","0.00713,","0.388419,","-0.179961,","-0.010476,","-0.371071,","-0.574681,","1.017027,","0.106318,","-0.629211,","-0.048529,","0.353933,","-0.243956,","0.378724,","0.033608,","0.04349,","0.216344,","-0.155118,","-0.116346,","0.573107,","-0.013439,","0.620616,","0.414068,","-0.028173,","-0.7027,","-0.178638,","-0.469024,","-0.34512,","-0.204884,","0.843993,","0.230052,","0.261027,","0.249501,","0.30535,","-0.290923,","0.23196,","-0.035928,","-0.428958,","-0.167095,","0.011412,","-0.235168,","0.370955,","0.048452,","-0.16786,","0.187804,","-0.503451,","0.571173,","-0.756796,","-0.760541,","0.661278,","0.784744,","-0.487326,","-0.099833,","-0.394482,","0.383522,","0.308012,","-0.18898,",-0.530919
3,"-0.412672,","-0.089025,","-0.102817,","-0.691735,","0.11488,","-0.190326,","-0.288312,","-0.111951,","-0.518541,","0.389345,","-0.199935,","-0.394104,","-0.569312,","0.021171,","-0.041733,","0.22628,","0.759821,","0.212445,","-0.250016,","-0.312903,","-0.571316,","-0.353474,","-0.398035,","-0.102698,","0.219641,","0.344608,","-0.114546,","0.299579,","0.063872,","0.446235,","-0.468305,","-0.763725,","0.005589,","0.336641,","0.474518,","-0.317042,","-0.061785,","-0.312611,","0.244911,","0.168611,","-0.388043,","-0.438723,","-0.003486,","-0.620867,","0.179855,","-0.288303,","-0.019053,","0.015581,","0.046277,","-0.506511,","0.38644,","-0.75033,","0.41541,","0.059419,","0.422751,","-0.393304,","0.6809,","0.060291,","0.055986,","0.334428,","0.262787,","0.05058,","-0.70059,","-0.175517,","0.013106,","-0.108486,","0.064861,","0.351151,","0.114169,","-0.144114,","0.944697,","-0.53262,","-0.038136,","-0.419687,","0.515987,","-0.696992,","-0.288104,","0.235397,","-0.007733,","-0.361125,","-0.290429,","-0.258547,","0.184718,","-0.037297,","0.25723,","-0.290752,","-0.762144,","0.135832,","-0.572687,","0.684108,","-0.181067,","1.212659,","-0.046012,","-0.115839,","-0.022813,","0.537105,","-1.076247,","-0.573047,","0.060375,","0.119235,","0.546566,","-0.298107,","0.025301,","0.391241,","-0.191022,","-0.598381,","0.430652,","-0.60982,","-0.198034,","0.385576,","-0.017932,","-0.719256,","0.030904,","-0.378419,","0.168334,","-0.219281,","0.178302,","-0.453641,","0.39341,","0.621563,","0.169573,","-0.272036,","0.142047,","-0.025092,","-0.037469,","0.58389,","0.35393,",0.697675
4,"0.132239,","-0.212627,","0.079812,","-0.410315,","-0.406659,","-0.593194,","-0.456428,","0.53205,","-0.058996,","0.109429,","0.206925,","0.128219,","0.358662,","0.000115,","-0.009591,","0.445605,","-0.208335,","0.276741,","0.270104,","0.01142,","0.104705,","-1.002207,","-0.269886,","-0.086984,","-0.177622,","-0.575146,","-0.096114,","0.803026,","-0.002356,","0.584126,","-0.647329,","-0.970203,","-0.127637,","-0.240675,","0.214307,","0.012109,","-0.630384,","-0.585686,","0.798619,","0.454656,","0.434019,","-0.461785,","-0.038459,","-0.166279,","0.165393,","-0.397036,","-0.027842,","-0.830453,","-0.590685,","0.176664,","0.350009,","-0.768186,","0.143402,","0.07582,","0.011764,","-0.288345,","0.891634,","-0.240728,","-0.006275,","0.170979,","0.093368,","-0.413747,","-0.5817,","-0.806104,","0.264053,","0.150175,","-0.854977,","-0.277965,","0.604943,","-0.200614,","0.520287,","-0.226239,","0.257434,","-0.688609,","0.557493,","-0.168159,","0.353569,","0.614565,","0.220352,","-0.359563,","-0.333258,","-0.304146,","-0.06619,","-0.18015,","0.353437,","-0.047475,","0.096557,","0.438191,","0.001564,","0.639519,","-0.637303,","0.176784,","-0.011349,","-0.133362,","-0.706508,","-0.089826,","-0.568993,","-0.834227,","0.558478,","0.471578,","0.276896,","0.106501,","-0.165556,","0.036189,","-0.23248,","-0.606709,","-0.47914,","-0.773084,","-0.398841,","-0.416886,","0.466555,","0.334031,","0.090464,","-0.332722,","0.403225,","0.033036,","-0.035172,","-0.56319,","0.344983,","0.074793,","0.179028,","0.424493,","-0.22113,","0.284139,","-0.128263,","-0.070931,","-0.350633,",0.013634
5,"0.222235,","-0.816909,","0.434152,","-0.453371,","-0.092832,","-0.469511,","-0.320025,","0.784367,","1.012188,","0.276501,","-0.289681,","-0.586141,","-0.156397,","0.033254,","0.037411,","0.033752,","-0.124843,","-0.579538,","0.166772,","-0.03291,","0.020385,","-0.446499,","-0.046611,","0.097576,","0.173985,","-0.475044,","-0.223797,","0.164983,","-0.43861,","0.250835,","0.074807,","-0.511937,","0.445624,","0.026677,","0.501247,","-0.270234,","0.234837,","-0.398266,","0.604767,","-0.427149,","-0.120432,","-0.396616,","-0.012411,","-0.623373,","-0.331578,","-0.423652,","0.486202,","0.24927,","-0.400178,","-0.316894,","0.243087,","-0.018893,","0.433849,","-0.280282,","0.698641,","-0.093646,","0.591369,","-0.586617,","0.166693,","-0.037368,","0.453765,","-0.582402,","0.17115,","0.190409,","-0.121516,","0.245063,","-0.413863,","-0.003681,","0.319981,","-0.290685,","-0.133625,","0.604992,","0.327635,","-0.198893,","0.57786,","0.258407,","0.258105,","0.277719,","-0.548053,","-0.004662,","-0.568796,","0.184013,","0.295983,","-0.219464,","0.123835,","0.372282,","0.244759,","0.690289,","-0.200869,","0.666081,","-0.030971,","0.480568,","-0.193447,","-0.078654,","-0.421218,","0.453099,","-0.835138,","-0.675339,","-0.235789,","0.263671,","0.192362,","-0.244854,","-0.161622,","0.182981,","-0.289189,","-0.645191,","-0.297138,","-0.685578,","-0.044442,","-0.152688,","0.746009,","-0.720005,","0.217868,","-0.281052,","-0.191478,","0.172131,","0.621591,","-0.214441,","-0.232067,","1.127015,","0.077701,","0.163314,","-0.03604,","0.5755,","-0.268936,","0.05408,","0.258232,",0.029697
6,"-0.300948,","0.217427,","0.15338,","-0.020024,","0.094223,","-0.810766,","-0.302204,","-0.060591,","0.323294,","-0.099833,","0.4059,","-0.393234,","0.249299,","-0.068422,","-0.289846,","-0.416084,","0.069982,","0.292292,","0.726208,","-0.345099,","-0.242693,","-1.104416,","-0.337735,","-1.11413,","-0.02158,","-0.755883,","-0.171375,","0.399384,","-0.431815,","0.725385,","-0.223592,","-0.127302,","-0.059507,","-0.199533,","-0.33993,","0.346359,","0.151763,","-0.361105,","0.469403,","0.228894,","-0.070632,","-0.087426,","-0.25565,","-0.359271,","-0.345536,","0.242891,","0.085938,","-0.502263,","-0.169876,","-0.471067,","0.558008,","0.331706,","0.256509,","-0.973251,","-0.205456,","0.391308,","0.271874,","-0.551773,","0.451394,","0.39105,","0.200376,","0.026196,","-0.102775,","-0.390058,","0.16101,","-0.258128,","-0.109867,","0.407035,","0.46499,","-0.303725,","0.897988,","0.356697,","0.210886,","-0.332495,","0.593784,","0.28887,","0.341371,","0.77553,","-0.150746,","-0.157488,","-0.878558,","0.351341,","0.166987,","0.129863,","0.201003,","0.005666,","-0.041832,","-0.049929,","-0.319993,","0.564035,","0.150699,","0.566426,","0.774827,","0.384966,","-0.429995,","-0.07552,","-0.436441,","-0.681362,","0.627823,","0.133496,","0.422455,","0.094367,","-0.031632,","-0.140371,","-0.273754,","0.456377,","-0.185701,","-0.40166,","-0.027635,","0.157442,","0.465546,","0.27411,","0.958858,","-0.277676,","0.641261,","-0.390383,","0.898782,","-0.75622,","-0.096369,","0.3936,","0.531939,","-0.510027,","-0.460345,","-0.382773,","0.111011,","0.616078,","0.24445,",0.270855
7,"0.050429,","-0.261868,","0.54732,","-0.447265,","-0.979144,","-0.124159,","-0.498077,","-0.359502,","0.527624,","-0.23911,","-0.588142,","-0.737142,","-0.201718,","0.545758,","0.117172,","-0.105419,","0.194184,","0.079851,","0.752716,","-0.582133,","0.244522,","-0.69469,","-0.172651,","0.148489,","-0.039577,","-0.698576,","-0.998821,","-0.070143,","0.469724,","-0.121401,","-0.419378,","0.132129,","-0.165388,","-0.135171,","-0.074237,","-0.134109,","-0.212776,","-1.120256,","0.105983,","0.38981,","0.494333,","-0.472964,","-0.214712,","-0.328029,","0.608284,","0.040112,","1.247133,","-0.093715,","-0.368418,","-0.334181,","-0.128647,","-0.709885,","0.256298,","-0.795775,","0.967288,","-0.291024,","0.388881,","0.562772,","0.339955,","0.945867,","0.405249,","0.116433,","-0.774309,","0.046566,","-0.533514,","0.122215,","-0.107911,","0.808385,","0.565239,","-0.178982,","-0.710586,","-0.109447,","-0.434194,","-0.05686,","0.471061,","-0.281517,","0.095907,","0.405389,","-0.019041,","0.121712,","-0.575163,","0.00959,","-0.208391,","0.310942,","0.154651,","-0.120145,","-0.243597,","-0.225283,","-0.916839,","0.454673,","0.175821,","0.951201,","0.144066,","-0.698432,","-0.379924,","0.548926,","-0.084107,","-0.294343,","-0.34798,","0.352863,","0.335168,","-0.476326,","-0.290806,","0.304354,","-0.4681,","-0.255851,","0.35757,","-0.391203,","0.199998,","0.291833,","0.868127,","0.611119,","-0.132894,","-0.787753,","0.081804,","-1.013675,","0.184557,","-0.444911,","0.171626,","0.359657,","0.64939,","0.422831,","-0.368084,","0.339762,","0.209409,","0.069138,","0.678042,",0.805329
8,"0.144073,","0.086664,","-0.246512,","-0.23738,","-0.435294,","-0.421917,","-0.506918,","0.258106,","-0.400091,","-0.070935,","0.214003,","-0.370955,","-0.066259,","0.052611,","0.684412,","-0.403765,","0.791148,","0.716392,","-0.197314,","-0.233629,","1.032715,","-0.511891,","0.149204,","-0.264454,","-0.310399,","-0.214994,","-0.515692,","0.180314,","-0.014245,","1.291466,","-0.246259,","-0.229047,","0.437387,","-0.298972,","-0.43876,","0.132454,","0.545969,","-0.827763,","0.640055,","-0.193567,","0.098551,","-0.41004,","-0.50919,","-0.153511,","0.148191,","0.066212,","0.276884,","-0.380197,","-0.507903,","-0.372306,","0.51434,","-0.578299,","0.509494,","0.296103,","0.285895,","-0.222757,","-0.074717,","0.273853,","-0.031021,","0.189117,","-0.220372,","-0.416701,","0.044554,","-0.164562,","-0.190983,","0.806827,","-0.420801,","-0.071119,","0.166221,","-0.191896,","0.400052,","0.147811,","0.586985,","-0.461363,","0.408404,","0.310453,","0.663208,","0.92582,","-0.218417,","0.303864,","-0.119938,","-0.207287,","0.089094,","0.423694,","-0.365357,","0.340793,","-0.664717,","0.419714,","-0.614528,","0.046577,","-0.353032,","0.56055,","0.609499,","-0.104597,","-0.843985,","0.144752,","-0.680785,","-0.579354,","0.148274,","0.669543,","0.468227,","-0.000274,","-0.044145,","0.164687,","0.060954,","-0.320948,","0.433388,","-0.728575,","-0.307948,","-0.572439,","0.338771,","-0.047696,","0.554156,","-0.153652,","0.483707,","-0.277145,","0.549744,","-0.416081,","-0.478291,","0.600704,","0.671723,","-0.782834,","0.596555,","-0.371514,","0.077022,","-0.045959,","0.595645,",0.181881
9,"-0.557039,","-0.358206,","-0.129028,","-0.257926,","-0.481132,","0.227939,","-0.339196,","-0.596907,","0.002555,","-0.12088,","-0.442795,","-0.289147,","0.528979,","-0.261607,","0.377483,","-0.266598,","-0.001148,","0.716222,","0.11405,","0.148594,","0.291325,","-0.018453,","0.461976,","0.196434,","-0.149007,","0.003936,","-0.754577,","-0.315192,","-0.41625,","0.402135,","-0.201577,","-0.419456,","0.162336,","-0.492193,","-0.412401,","-0.230762,","0.581667,","-1.491096,","0.670857,","0.226301,","0.458503,","-0.211759,","-0.298407,","-0.110279,","0.099246,","0.121147,","0.345573,","-0.663435,","-0.507652,","-0.201425,","-0.101912,","-0.287029,","0.691049,","-0.359616,","0.567203,","-0.41443,","0.0078,","-0.219113,","-0.132962,","0.846195,","0.637125,","-0.125924,","-0.300422,","-0.05943,","-0.316363,","0.076393,","-0.946471,","0.498301,","0.887624,","-0.558126,","-0.207299,","-0.117421,","0.412232,","0.07411,","-0.09271,","0.062026,","0.185899,","-0.063393,","-0.823391,","0.400153,","-0.676957,","-0.205647,","-0.027458,","0.145743,","-0.116823,","0.378228,","-0.37188,","-0.231032,","-1.227646,","1.041445,","-0.294131,","0.481257,","-0.05483,","-0.033263,","-0.896268,","-0.131669,","-0.067239,","0.146538,","-0.115432,","-0.278968,","0.620107,","-0.491419,","0.236473,","0.300172,","-0.298604,","0.010308,","0.159397,","-0.652854,","-0.185306,","-0.010085,","0.657804,","0.270907,","0.276843,","-0.168038,","-0.165913,","-0.934769,","0.319705,","0.222379,","-0.004018,","0.574549,","1.138806,","-0.299656,","-0.369847,","0.420841,","-0.934741,","0.182122,","0.752697,",0.557125
