3,0:1,1812:1,1997:3.9,1998:2.915492957746479,"['2000:1', '2012:1', '2006:1']"
3,0:1,1790:1,1997:3.8,1998:2.915492957746479,['1999:1']
3,0:1,1664:1,1997:3.65,1998:2.915492957746479,"['2003:1', '2007:1', '2005:1']"
4,0:1,1911:1,1997:3.45,1998:2.915492957746479,"['1999:1', '2000:1', '2007:1']"
1,0:1,1389:1,1997:3.0,1998:2.915492957746479,"['2003:1', '2006:1']"
2,0:1,1731:1,1997:3.15,1998:2.915492957746479,"['1999:1', '2001:1']"
3,0:1,1713:1,1997:3.35,1998:2.915492957746479,"['1999:1', '2003:1', '2002:1']"
3,0:1,1732:1,1997:3.3,1998:2.915492957746479,"['1999:1', '2001:1', '2012:1']"
3,0:1,1406:1,1997:3.85,1998:2.915492957746479,"['2003:1', '2008:1', '2012:1']"
3,0:1,1789:1,1997:3.7,1998:2.915492957746479,"['1999:1', '2002:1']"
3,1:1,1558:1,1997:3.95,1998:3.6,"['1999:1', '2012:1', '2006:1']"
3,1:1,1469:1,1997:3.25,1998:3.6,"['1999:1', '2004:1', '2012:1']"
3,1:1,1672:1,1997:2.65,1998:3.6,"['2000:1', '2001:1']"
4,1:1,1580:1,1997:3.8,1998:3.6,"['1999:1', '2001:1']"
2,1:1,1652:1,1997:2.55,1998:3.6,"['2000:1', '2003:1']"
5,1:1,1638:1,1997:4.1,1998:3.6,"['2003:1', '2005:1', '2023:1']"
3,1:1,1733:1,1997:2.8,1998:3.6,['2001:1']
5,1:1,1573:1,1997:4.0,1998:3.6,"['2003:1', '2002:1']"
4,1:1,1645:1,1997:2.8,1998:3.6,"['1999:1', '2003:1', '2002:1']"
5,1:1,1701:1,1997:4.35,1998:3.6,"['1999:1', '2009:1', '2003:1']"
2,1:1,1613:1,1997:2.0,1998:3.6,"['2000:1', '2001:1']"
4,1:1,1640:1,1997:3.55,1998:3.6,"['2005:1', '2006:1']"
2,1:1,1542:1,1997:2.75,1998:3.6,"['2000:1', '2003:1']"
3,1:1,1860:1,1997:3.4,1998:3.6,"['1999:1', '2000:1']"
4,1:1,1549:1,1997:3.1,1998:3.6,"['2007:1', '2005:1']"
5,1:1,1996:1,1997:3.7,1998:3.6,"['1999:1', '2000:1', '2001:1']"
3,1:1,1777:1,1997:2.55,1998:3.6,"['2000:1', '2003:1']"
5,1:1,1616:1,1997:4.15,1998:3.6,"['1999:1', '2000:1']"
4,1:1,1463:1,1997:2.85,1998:3.6,"['2003:1', '2008:1', '2006:1']"
4,1:1,1589:1,1997:2.65,1998:3.6,"['2000:1', '2001:1']"
3,1:1,1877:1,1997:2.85,1998:3.6,"['2000:1', '2001:1', '2012:1']"
5,1:1,1523:1,1997:3.45,1998:3.6,"['1999:1', '2003:1', '2002:1']"
4,1:1,1545:1,1997:3.85,1998:3.6,"['1999:1', '2003:1', '2007:1']"
3,1:1,1597:1,1997:3.35,1998:3.6,"['2012:1', '2006:1']"
1,1:1,1812:1,1997:3.9,1998:3.6,"['2000:1', '2012:1', '2006:1']"
5,1:1,1911:1,1997:3.45,1998:3.6,"['1999:1', '2000:1', '2007:1']"
3,1:1,1713:1,1997:3.35,1998:3.6,"['1999:1', '2003:1', '2002:1']"
2,1:1,1406:1,1997:3.85,1998:3.6,"['2003:1', '2008:1', '2012:1']"
3,1:1,1566:1,1997:3.8,1998:3.6,"['2000:1', '2004:1', '2012:1']"
4,1:1,1872:1,1997:3.6,1998:3.6,"['1999:1', '2015:1']"
4,1:1,1635:1,1997:4.3,1998:3.6,"['1999:1', '2013:1']"
4,1:1,1756:1,1997:3.75,1998:3.6,"['2000:1', '2004:1', '2006:1']"
3,1:1,1533:1,1997:3.5,1998:3.6,"['1999:1', '2006:1', '2023:1']"
4,1:1,1538:1,1997:3.65,1998:3.6,"['1999:1', '2003:1', '2002:1']"
5,1:1,1902:1,1997:4.05,1998:3.6,"['1999:1', '2000:1', '2009:1']"
5,4:1,1558:1,1997:3.95,1998:3.9,"['1999:1', '2012:1', '2006:1']"
2,4:1,1420:1,1997:2.9,1998:3.9,"['2003:1', '2006:1']"
5,4:1,1573:1,1997:4.0,1998:3.9,"['2003:1', '2002:1']"
4,4:1,1613:1,1997:2.0,1998:3.9,"['2000:1', '2001:1']"
2,4:1,1985:1,1997:3.05,1998:3.9,['2000:1']
3,4:1,1996:1,1997:3.7,1998:3.9,"['1999:1', '2000:1', '2001:1']"
4,4:1,1777:1,1997:2.55,1998:3.9,"['2000:1', '2003:1']"
4,4:1,1523:1,1997:3.45,1998:3.9,"['1999:1', '2003:1', '2002:1']"
5,4:1,1545:1,1997:3.85,1998:3.9,"['1999:1', '2003:1', '2007:1']"
5,4:1,1531:1,1997:3.75,1998:3.9,"['2000:1', '2004:1']"
4,7:1,1558:1,1997:3.95,1998:3.8333333333333335,"['1999:1', '2012:1', '2006:1']"
4,7:1,1573:1,1997:4.0,1998:3.8333333333333335,"['2003:1', '2002:1']"
5,7:1,1701:1,1997:4.35,1998:3.8333333333333335,"['1999:1', '2009:1', '2003:1']"
5,7:1,1899:1,1997:4.25,1998:3.8333333333333335,"['1999:1', '2001:1', '2004:1']"
3,7:1,1996:1,1997:3.7,1998:3.8333333333333335,"['1999:1', '2000:1', '2001:1']"
2,7:1,1808:1,1997:3.05,1998:3.8333333333333335,['2001:1']
