4,0:1,1558:1,1997:3.95
3,1:1,1558:1,1997:3.95
5,4:1,1558:1,1997:3.95
4,7:1,1558:1,1997:3.95
5,9:1,1558:1,1997:3.95
4,37:1,1558:1,1997:3.95
3,38:1,1558:1,1997:3.95
5,40:1,1558:1,1997:3.95
5,41:1,1558:1,1997:3.95
3,42:1,1558:1,1997:3.95
3,43:1,1558:1,1997:3.95
2,44:1,1558:1,1997:3.95
3,46:1,1558:1,1997:3.95
3,48:1,1558:1,1997:3.95
3,50:1,1558:1,1997:3.95
4,52:1,1558:1,1997:3.95
4,53:1,1558:1,1997:3.95
5,55:1,1558:1,1997:3.95
4,57:1,1558:1,1997:3.95
4,58:1,1558:1,1997:3.95
5,60:1,1558:1,1997:3.95
2,61:1,1558:1,1997:3.95
3,62:1,1558:1,1997:3.95
3,70:1,1558:1,1997:3.95
4,71:1,1558:1,1997:3.95
2,74:1,1558:1,1997:3.95
3,75:1,1558:1,1997:3.95
3,76:1,1558:1,1997:3.95
3,78:1,1558:1,1997:3.95
4,79:1,1558:1,1997:3.95
3,80:1,1558:1,1997:3.95
2,81:1,1558:1,1997:3.95
4,82:1,1558:1,1997:3.95
4,83:1,1558:1,1997:3.95
5,84:1,1558:1,1997:3.95
4,87:1,1558:1,1997:3.95
3,89:1,1558:1,1997:3.95
4,92:1,1558:1,1997:3.95
4,97:1,1558:1,1997:3.95
4,98:1,1558:1,1997:3.95
4,99:1,1558:1,1997:3.95
5,100:1,1558:1,1997:3.95
3,101:1,1558:1,1997:3.95
3,105:1,1558:1,1997:3.95
4,106:1,1558:1,1997:3.95
4,109:1,1558:1,1997:3.95
2,112:1,1558:1,1997:3.95
4,113:1,1558:1,1997:3.95
4,114:1,1558:1,1997:3.95
4,115:1,1558:1,1997:3.95
4,116:1,1558:1,1997:3.95
5,118:1,1558:1,1997:3.95
3,119:1,1558:1,1997:3.95
2,121:1,1558:1,1997:3.95
3,122:1,1558:1,1997:3.95
