Id,Label,timeset,modularity_class,clustering,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks,componentnumber,strongcompnum
58570436,,,2,0,0,4,4,0,4,4,8,0.25093633,0.31025231,0,0,7.92E-04,0,17
49213881,,,2,0.160714284,6,2,8,6,2,8,8,0.265306122,0.313241758,18.00021645,0.044956808,0.001820923,0,11
lithiumberry,,,2,0.166666672,1,3,4,1,3,4,7,0.304147465,0.361760462,48.63311688,0.001793829,9.60E-04,0,16
1815039,,,2,0.179487184,10,8,18,10,8,18,7,0.340314136,0.4296337,1834.545704,0.510134514,0.03072052,0,11
3310354,,,2,0.100000001,4,3,7,4,3,7,8,0.251937984,0.30478022,594.8269231,0.021734391,0.003447174,0,11
3718831,,,2,0.154150203,18,16,34,18,16,34,6,0.396341463,0.527692308,3069.273385,1,0.042919417,0,11
58059498,,,2,0.05105105,35,6,41,35,6,41,7,0.345744681,0.426043956,2198.661036,0.792736723,0.037513471,0,11
abin520918,,,2,0.13949275,2,23,25,2,23,25,6,0.481481481,0.618461538,1240.747519,0.062011975,0.002339631,0,11
Huxinghang510,,,2,0.449999988,4,5,9,4,5,9,7,0.351351351,0.416813187,894.0022367,0.212523996,0.006915865,0,11
75805315,,,2,0.25,5,3,8,5,3,8,7,0.306603774,0.366043956,425.4123016,0.493573959,0.020227088,0,11
48198672,,,2,0,2,2,4,2,2,4,9,0.203125,0.240537241,267,0.011633194,0.003821829,0,11
chrisWen,,,2,0,1,1,2,1,1,2,8,0.227272727,0.262124542,0,0.042205793,0.002683594,0,11
Death1nJuly,,,2,0.25,4,5,9,4,5,9,7,0.292792793,0.367472527,278.4583333,0.268383406,0.011129221,0,11
151844672,,,2,0,1,2,3,1,2,3,8,0.228668942,0.267981521,66,0.003057605,0.002292723,0,41
54300054,,,2,0,1,1,2,1,1,2,9,0.186629526,0.210672826,0,0.003057605,0.001766016,0,41
48687824,,,2,0.071428575,7,2,9,7,2,9,7,0.287610619,0.341831502,186.0285714,0.225357012,0.006652597,0,11
accelerator21,,,2,0,0,1,1,0,1,1,8,0.25984252,0.295869408,0,0,7.92E-04,0,44
158574352,,,2,0.5,1,2,3,1,2,3,8,0.273109244,0.318223443,0,0.084904901,0.004055695,0,11
orangeumoon,,,2,0,0,1,1,0,1,1,8,0.25984252,0.295869408,0,0,7.92E-04,0,61
63661558,,,2,0,2,2,4,2,2,4,7,0.250965251,0.291575092,277.1642857,0.179185061,0.009499553,0,11
55340250,,,2,0,0,1,1,0,1,1,9,0.203703704,0.234367484,0,0,7.92E-04,0,69
135867497,,,2,0,0,1,1,0,1,1,8,0.25984252,0.295869408,0,0,7.92E-04,0,78
49612534,,,2,0,1,1,2,1,1,2,7,0.285087719,0.331575092,0,0.162968412,0.003071725,0,11
2472867,,,2,0.466666669,0,6,6,0,6,6,7,0.338461538,0.418326118,0,0,7.92E-04,0,101
81834646,,,2,0,0,2,2,0,2,2,8,0.23655914,0.281132756,0,0,7.92E-04,0,102
90028520,,,2,0,0,1,1,0,1,1,8,0.25984252,0.295869408,0,0,7.92E-04,0,109
84381652,,,2,0.166666672,0,3,3,0,3,3,7,0.284482759,0.338672439,0,0,7.92E-04,0,114
41521988,,,2,0,0,2,2,0,2,2,6,0.304147465,0.347727273,0,0,7.92E-04,0,124
53559432,,,2,0,1,1,2,1,1,2,10,0.169270833,0.192869353,0,0.005442087,0.002415892,0,11
68325010,,,2,0,0,1,1,0,1,1,8,0.25984252,0.295869408,0,0,7.92E-04,0,152
hearyin,,,2,0,0,1,1,0,1,1,8,0.256809339,0.294967532,0,0,7.92E-04,0,160
48673876,,,2,0.166666672,0,4,4,0,4,4,7,0.315789474,0.373629149,0,0,7.92E-04,0,163
50967494,,,2,0,0,1,1,0,1,1,8,0.25984252,0.295869408,0,0,7.92E-04,0,168
noahsart,,,2,0.200000003,0,6,6,0,6,6,7,0.297297297,0.376551227,0,0,7.92E-04,0,178
71298339,,,2,0,0,1,1,0,1,1,8,0.25984252,0.295869408,0,0,7.92E-04,0,187
