,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,6.6,148559.0,Kong: Skull Island,2017,乔丹·沃格特-罗伯茨 Jordan Vogt-Roberts,",汤姆·希德勒斯顿 Tom Hiddleston,布丽·拉尔森 Brie Larson,塞缪尔·杰克逊 Samuel L. Jackson,约翰·古德曼 John Goodman",",动作,奇幻,冒险",",美国,中国大陆,澳大利亚,加拿大","19242,金刚","16350,美国","15484,怪兽","14948,冒险","13247,科幻","11133,动作","10840,2017",26309788
1,8.4,136273.0,Gladiator,2000,Ridley Scott,",Russell Crowe,Joaquin Phoenix,Connie Nielsen,Richard Harris",",剧情,动作,历史,冒险",",英国,美国","21488,史诗","14853,角斗士","13201,美国","12733,罗马","11973,战争","10747,动作","8691,经典",1293530
2,6.8,155834.0,战狼,2015,吴京 Jacky Wu,",吴京 Jacky Wu,余男 Nan Yu,斯科特·阿金斯 Scott Adkins,凯文·李 Kevin Lee",",动作,战争",",中国大陆","20518,动作","17864,吴京","15347,军事","11684,战争","9550,中国电影","9382,国产","8521,中国",24753810
3,7.0,92013.0,Total Recall,2012,伦·怀斯曼 Len Wiseman,",柯林·法瑞尔 Colin Farrell,凯特·贝金赛尔 Kate Beckinsale,杰西卡·贝尔 Jessica Biel,布莱恩·科兰斯顿 Bryan Cranston",",动作,科幻,惊悚,冒险",",美国,加拿大","24676,科幻","14842,美国","13783,动作","6065,2012","5930,悬疑","2968,冒险","2853,剧情",3569911
4,6.9,133647.0,In Time,2011,安德鲁·尼科尔 Andrew Niccol,",阿曼达·塞弗里德 Amanda Seyfried,贾斯汀·丁伯莱克 Justin Timberlake,希里安·墨菲 Cillian Murphy,文森特·卡塞瑟 Vincent Kartheiser",",动作,科幻",",美国","30701,科幻","19802,美国","8326,人性","7189,爱情","6656,2011","6243,动作","5867,剧情",4924142
5,5.9,182046.0,畫皮Ⅱ,2012,乌尔善 Wuershan,",周迅 Xun Zhou,赵薇 Wei Zhao,陈坤 Kun Chen,冯绍峰 Shaofeng Feng",",剧情,爱情,奇幻,惊悚",",中国大陆,香港","22018,爱情","20987,奇幻","15837,中国","12878,古装","8308,2012","6703,内地","6280,3D",4218768
6,8.3,260132.0,클래식,2003,郭在容 Jae-young Kwak,",孙艺珍 Ye-jin Son,曹承佑 Seung-woo Cho,赵寅成 In-seong Jo,李己雨 Ki-woo Lee",",剧情,爱情",",韩国","52540,爱情","41744,韩国","26157,孙艺珍","21737,唯美","21516,假如爱有天意","19656,韩国电影","15119,青春",1304073
7,6.5,71184.0,Ted 2,2015,塞思·麦克法兰 Seth MacFarlane,",塞思·麦克法兰 Seth MacFarlane,马克·沃尔伯格 Mark Wahlberg,阿曼达·塞弗里德 Amanda Seyfried,杰西卡·巴斯 Jessica Barth",",喜剧",",美国","9584,喜剧","7513,美国","5761,搞笑","5345,泰迪熊","3918,2015","2997,友情","2021,剧情",19957083
8,8.8,167029.0,Westworld,2016,乔纳森·诺兰 Jonathan Nolan,",埃文·蕾切尔·伍德 Evan Rachel Wood,安东尼·霍普金斯 Anthony Hopkins,艾德·哈里斯 Ed Harris,坦迪·牛顿 Thandie Newton",",科幻,西部",",美国","32292,美剧","31386,科幻","27871,人工智能","24545,HBO","16108,人性","15355,美国","13314,西部",2338055
9,6.8,104688.0,The Expendables 2,2012,西蒙·韦斯特 Simon West,",西尔维斯特·史泰龙 Sylvester Stallone,杰森·斯坦森 Jason Statham,李连杰 Jet Li,余男 Nan Yu",",动作,冒险",",美国","22297,动作","16701,美国","9654,暴力","6280,2012","4163,大片","3236,冒险","3176,犯罪",6040982
10,8.5,82917.0,Dans la maison,2012,弗朗索瓦·欧容 François Ozon,",法布莱斯·鲁奇尼 Fabrice Luchini,恩斯特·吴默埃 Ernst Umhauer,克里斯汀·斯科特·托马斯 Kristin Scott Thomas,艾玛纽尔·塞尼耶 Emmanuelle Seigner",",剧情,悬疑",",法国","20402,法国","13398,悬疑","10023,剧情","8523,心理","7175,人性","6523,文艺","4428,2012",6537486
11,8.0,114630.0,Alien,1979,雷德利·斯科特 Ridley Scott,",西格妮·韦弗 Sigourney Weaver,汤姆·斯凯里特 Tom Skerritt,维罗尼卡·卡维特 Veronica Cartwright,哈利·戴恩·斯坦通 Harry Dean Stanton",",恐怖,科幻",",英国,美国","22919,科幻","13077,美国","12919,恐怖","11392,惊悚","11297,异形","7962,经典","5310,1979",1300868
12,6.6,121897.0,武侠,2011,陈可辛 Peter Chan,",甄子丹 Donnie Yen,金城武 Takeshi Kaneshiro,汤唯 Wei Tang,王羽 Yu Wang",",剧情,动作,悬疑,武侠",",香港,中国大陆","21479,动作","14395,香港","7241,2011","6892,古装","6602,悬疑","5120,中国","3730,剧情",4942776
13,8.2,69111.0,Captain Phillips,2013,保罗·格林格拉斯 Paul Greengrass,",汤姆·汉克斯 Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Faysal Ahmed",",剧情,传记,犯罪,冒险",",美国","11773,美国","8822,剧情","7417,海盗","5815,传记","5125,犯罪","4197,2013","3929,人性",4116480
14,7.8,78983.0,殭屍,2013,麦浚龙 Juno Mak,",钱小豪 Siu-hou Chin,惠英红 Kara Hui,鲍起静  Hee Ching Paw,陈友 Anthony Chan",",剧情,恐怖",",香港","16887,僵尸","12963,香港","12623,恐怖","7077,香港电影","6396,惊悚","5361,麦浚龙","4118,2013",22715021
15,7.2,117061.0,黄金时代,2014,许鞍华 Ann Hui,",汤唯 Wei Tang,冯绍峰 William Feng,王志文 Zhiwen Wang,朱亚文 Yawen Zhu",",剧情,传记,爱情",",中国大陆,香港","15648,传记","12802,萧红","12437,文艺","6309,女性","4892,2014","4796,香港","4624,爱情",10545939
16,8.6,141300.0,Black Hawk Down,2001,雷德利·斯科特 Ridley Scott,",乔什·哈奈特 Josh Hartnett,伊万·麦克格雷格 Ewan McGregor,汤姆·塞兹摩尔 Tom Sizemore,金·寇兹 Kim Coates",",动作,历史,战争",",美国","33582,战争","19241,美国","13123,索马里","10504,经典","9072,美国电影","5869,戰爭","4432,2001",1291824
17,7.9,161500.0,鹿鼎記,1992,王晶 Jing Wong,",周星驰 Stephen Chow,吴孟达 Man Tat Ng,张敏 Sharla Cheung,吴君如 Sandra Ng",",喜剧,动作,武侠,古装",",香港","33662,周星驰","22636,喜剧","15274,香港","10425,香港电影","7776,搞笑","7181,王晶","6229,鹿鼎记",1297223
18,7.1,154489.0,观音山,2010,李玉 Yu Li,",张艾嘉 Sylvia Chang,范冰冰 Bingbing Fan,陈柏霖 Bo-lin Chen,肥龙 Fei Long",",剧情,爱情",",中国大陆","9806,文艺","8552,中国","5358,爱情","3939,剧情","3519,成长","3299,2011","2594,内地",4059245
19,5.7,141995.0,撒娇女人最好命,2014,彭浩翔 Ho-Cheung Pang,",周迅 Xun Zhou,黄晓明 Xiaoming Huang,隋棠 Sonia Sui,谢依霖 Yilin Sie",",喜剧,爱情",",中国大陆,香港","13196,爱情","12951,喜剧","6874,周公子","5554,搞笑","5066,2014","3795,中国大陆","3694,撒娇",4881607
20,6.8,233873.0,單身男女,2011,杜琪峰 Johnnie To,",古天乐 Louis Koo,吴彦祖 Daniel Wu,高圆圆 Yuanyuan Gao,林雪 Suet Lam",",喜剧,爱情",",香港","55069,爱情","33480,香港","17602,都市","14841,喜剧","12442,2011","10656,浪漫","5709,中国",4724739
21,7.1,141498.0,Love & Other Drugs,2010,爱德华·兹威克 Edward Zwick,",安妮·海瑟薇 Anne Hathaway,杰克·吉伦哈尔 Jake Gyllenhaal,朱迪·格雷尔 Judy Greer,汉克·阿扎利亚 Hank Azaria",",剧情,喜剧,爱情",",美国","28132,爱情","18039,AnneHathaway","15846,美国","12153,安妮·海瑟薇","12129,JakeGyllenhaal","8831,美国电影","5298,2010",3078609
22,7.3,135550.0,掃毒,2013,陈木胜 Benny Chan,",刘青云 Sean Lau,张家辉 Nick Cheung,古天乐 Louis Koo,袁泉 Quan Yuan",",剧情,动作,犯罪,悬疑",",中国大陆,香港","14821,香港电影","12602,张家辉","12057,犯罪","11894,古天乐","11863,香港","11298,刘青云","8644,动作",10763164
23,5.3,71857.0,Assassin's Creed,2016,贾斯汀·库泽尔  Justin Kurzel,",迈克尔·法斯宾德 Michael Fassbender,玛丽昂·歌迪亚 Marion Cotillard,杰瑞米·艾恩斯 Jeremy Irons,布莱丹·格里森 Brendan Gleeson",",动作,历史,科幻,冒险",",美国,法国,香港,英国,台湾,马耳他,加拿大","10286,游戏改编","8744,动作","6588,美国","5836,科幻","3983,冒险","3568,信仰","3510,2016",11526817
24,5.8,110025.0,Resident Evil: Retribution,2012,保罗·安德森 Paul W.S. Anderson,",米拉·乔沃维奇 Milla Jovovich,米歇尔·罗德里格兹 Michelle Rodriguez,西耶娜·盖尔利 Sienna Guillory,李冰冰 Bingbing Li",",动作,科幻,恐怖",",德国,加拿大,美国,法国","16647,生化危机","14442,科幻","11627,美国","10494,丧尸","8905,动作","6045,惊悚","4812,2012",6532822
25,8.0,66113.0,Prisoners,2013,丹尼斯·维伦纽瓦 Denis Villeneuve,",休·杰克曼 Hugh Jackman,杰克·吉伦哈尔 Jake Gyllenhaal,维奥拉·戴维斯 Viola Davis,玛丽亚·贝罗 Maria Bello",",剧情,犯罪,悬疑",",美国","15023,悬疑","11812,犯罪","10241,美国","5423,剧情","4402,惊悚","3920,JakeGyllenhaal","3909,2013",3592859
26,8.0,160729.0,Ice Age: Continental Drift,2012,麦克·特米尔 Mike Thurmeier,",阿兹·安萨里 Aziz Ansari,乔·贝哈 Joy Behar,克里斯托弗·坎贝尔 Christopher Campbell,阿兰·夏巴 Alain Chabat",",喜剧,动画,冒险",",美国","36229,动画","21680,美国","16344,搞笑","12398,喜剧","9282,3D","7282,2012","6359,冒险",4914468
27,8.6,217123.0,時をかける少女,2006,细田守 Mamoru Hosoda,",仲里依纱 Riisa Naka,石田卓也 Takuya Ishida,板仓光隆 Mitsutaka Itakura,原沙知绘 Sachie Hara",",剧情,爱情,科幻,动画",",日本","32254,动画","29458,日本","23661,青春","22072,穿越时空的少女","18685,日本动画","12812,爱情","11789,动漫",1937946
28,8.0,88467.0,Who Am I - Kein System ist sicher,2014,Baran bo Odar,",汤姆·希林 Tom Schilling,埃利亚斯·穆巴里克 Elyas M'Barek,沃坦·维尔克·默林 Wotan Wilke Möhring,汉娜·赫斯普朗 Hannah Herzsprung",",犯罪,悬疑,惊悚",",德国","13924,悬疑","13571,黑客","11511,德国","10734,犯罪","6375,剧情","5048,德国电影","3858,2014",25932086
29,8.3,82120.0,An Inspector Calls,2015,艾斯林·沃什 Aisling Walsh,",大卫·休里斯 David Thewlis,米兰达·理查森 Miranda Richardson,苏菲·兰朵 Sophie Rundle,肯·斯托特 Ken Stott",",剧情,悬疑",",英国","13104,悬疑","11573,英国","10892,人性","7526,剧情","7093,推理","6233,BBC","5145,英剧",25955491
30,7.7,148641.0,Lost in Translation,2003,索菲亚·科波拉 Sofia Coppola,",斯嘉丽·约翰逊 Scarlett Johansson,比尔·默瑞 Bill Murray,吉奥瓦尼·瑞比西 Giovanni Ribisi,竹下明子 Akiko Takeshita",",剧情,爱情",",美国,日本","18599,美国","18178,文艺","14925,迷失东京","13246,爱情","12033,ScarlettJohansson","8570,日本","7705,美国电影",1291835
31,6.1,69710.0,London Has Fallen,2016,巴巴克·纳加非 Babak Najafi,",杰拉德·巴特勒 Gerard Butler,艾伦·艾克哈特 Aaron Eckhart,摩根·弗里曼 Morgan Freeman,阿隆·阿布布尔 Alon Aboutboul",",动作,犯罪,惊悚",",英国,美国,保加利亚","9125,动作","7152,美国","5199,犯罪","4260,2016","3738,英国","3279,伦敦","3078,暴力",25757186
32,6.9,102396.0,Oblivion,2013,约瑟夫·科辛斯基 Joseph Kosinski,",汤姆·克鲁斯 Tom Cruise,摩根·弗里曼 Morgan Freeman,欧嘉·柯瑞兰寇 Olga Kurylenko,尼可拉·科斯特-瓦尔道 Nikolaj Coster-Waldau",",动作,科幻,悬疑,冒险",",美国","25353,科幻","14270,美国","6542,2013","6165,动作","4942,悬疑","3401,人性","2960,剧情",3895511
33,7.6,92818.0,La piel que habito,2011,佩德罗·阿莫多瓦 Pedro Almodóvar,",安东尼奥·班德拉斯 Antonio Banderas,埃琳纳·安娜亚 Elena Anaya,玛丽莎·佩雷德斯 Marisa Paredes,扬·科奈特 Jan Cornet",",惊悚",",西班牙","19722,西班牙","9035,剧情","6828,悬疑","5877,人性","5876,重口味","5571,伦理","5107,惊悚",2997052
34,7.2,161500.0,The Da Vinci Code,2006,Ron Howard,",汤姆·汉克斯 Tom Hanks,奥黛丽·塔图 Audrey Tautou,伊恩·麦克莱恩 Ian McKellen,让·雷诺 Jean Reno",",悬疑,惊悚",",美国,马耳他,法国,英国","28133,悬疑","19531,宗教","17696,美国","14164,达芬奇密码","11328,汤姆·汉克斯","7595,美国电影","6597,奥黛丽·塔图",1329950
35,8.3,83066.0,Moonrise Kingdom,2012,韦斯·安德森 Wes Anderson,",杰瑞德·吉尔曼  Jared Gilman,卡拉·海沃德 Kara Hayward,布鲁斯·威利斯 Bruce Willis,爱德华·诺顿 Edward Norton",",剧情,儿童",",美国","13811,美国","11192,儿童","7239,文艺","6373,喜剧","6094,成长","5653,爱情","5537,2012",5360889
36,7.8,64521.0,Brooklyn,2015,约翰·克劳利 John Crowley,",西尔莎·罗南 Saoirse Ronan,多姆纳尔·格利森 Domhnall Gleeson,艾莫里·科恩 Emory Cohen,吉姆·布劳德本特 Jim Broadbent",",剧情,爱情",",英国,加拿大,爱尔兰","7654,爱情","7543,爱尔兰","6006,成长","5585,英国","5224,剧情","3696,2015","3096,纽约",10741220
37,7.4,131473.0,Wanted,2008,Timur Bekmambetov,",詹姆斯·麦卡沃伊 James McAvoy,摩根·弗里曼 Morgan Freeman,安吉丽娜·朱莉 Angelina Jolie,特伦斯·斯坦普 Terence Stamp",",动作,犯罪,惊悚",",美国,德国","23935,动作","14405,美国","13678,AngelinaJolie","8321,美国电影","6607,JamesMcAvoy","4835,2008","4323,MorganFreeman",1945336
38,7.4,164109.0,新警察故事,2004,陈木胜 Benny Chan,",成龙 Jackie Chan,谢霆锋 Nicholas Tse,杨采妮 Charlie Yeung,蔡卓妍 Charlene Choi",",动作,犯罪,剧情,惊悚",",中国大陆,香港","22095,香港","20400,动作","12145,警匪","6530,犯罪","4268,2004","3443,剧情","2723,经典",1306160
39,8.2,101798.0,買兇拍人,2001,彭浩翔 Ho-Cheung Pang,",葛民辉 Eric Kot,张达明 Tat-Ming Cheung,詹瑞文 Sui-man Chim,樋口明日嘉 Asuka Higuchi",",犯罪,动作,喜剧",",香港","20970,彭浩翔","18687,黑色幽默","14066,香港","9056,香港电影","8920,喜剧","3881,葛民辉","3721,搞笑",1300616
40,8.0,111000.0,Star Trek,2009,J·J·艾布拉姆斯 J.J. Abrams,",克里斯·派恩 Chris Pine,扎克瑞·昆图 Zachary Quinto,伦纳德·尼莫伊 Leonard Nimoy,艾瑞克·巴纳 Eric Bana",",动作,冒险,科幻",",美国,德国","28069,科幻","15656,美国","10327,星际","6078,2009","5497,冒险","4258,动作","2716,史诗",2132932
41,7.9,36548.0,The Raid 2: Berandal,2014,加雷斯·埃文斯 Gareth Evans,",伊科·乌艾斯 Iko Uwais,朱莉·埃斯特尔 Julie Estelle,雅彦·鲁伊安 Yayan Ruhian,Arifin Putra",",剧情,动作,犯罪",",印度尼西亚,美国","9150,动作","6949,暴力","5658,印尼","4343,犯罪","3275,血腥","2571,黑帮","2538,2014",10535562
42,4.7,138799.0,盗墓笔记,2016,李仁港 Daniel Lee,",井柏然 Boran Jing,鹿晗 Han Lu,马思纯 Sichun Ma,王景春 Jingchun Wang",",悬疑,奇幻,冒险",",中国大陆","18844,盗墓","10530,冒险","10341,小说改编","8229,悬疑","8198,中国","8198,2016","6424,奇幻",24827387
43,6.7,132900.0,The Expendables,2010,Sylvester Stallone,",Sylvester Stallone,Jason Statham,李连杰,Dolph Lundgren",",动作,冒险,惊悚",",美国","27732,动作","16069,史泰龙","13689,美国","11510,李连杰","7565,美国电影","6539,阿诺·施瓦辛格","5586,JasonStatham",3279080
44,7.0,57227.0,惊天大逆转,2016,李骏 Jun Li,",钟汉良 Wallace Chung,李政宰 Jung-Jae Lee,郎月婷 Yueting Lang,李彩英 Chae-yeong Lee",",剧情,犯罪,悬疑",",中国大陆,韩国","7972,悬疑","6884,犯罪","3854,中韩合拍","3558,剧情","3215,中国","3158,2016","3120,动作",26375609
45,8.4,132432.0,暗戰,1999,杜琪峰 Johnnie To,",刘德华 Andy Lau,刘青云 Sean Lau,蒙嘉慧 YoYo Mung,李子雄 Waise Lee",",动作,剧情,犯罪",",香港","20502,杜琪峰","17063,香港","15024,刘德华","13361,刘青云","11257,警匪","10982,香港电影","7369,经典",1298898
46,7.0,105508.0,Night at the Museum: Secret of the Tomb,2014,肖恩·利维 Shawn Levy,",本·斯蒂勒 Ben Stiller,罗宾·威廉姆斯 Robin Williams,欧文·威尔逊 Owen Wilson,史蒂夫·库根 Steve Coogan",",喜剧,奇幻,冒险",",美国,英国","13123,喜剧","12028,美国","11407,奇幻","5357,搞笑","4700,冒险","4581,魔幻","4025,2014",21349734
47,7.7,130342.0,Me Before You,2016,西娅·夏罗克 Thea Sharrock,",艾米莉亚·克拉克 Emilia Clarke,山姆·克拉弗林 Sam Claflin,珍妮·麦克蒂尔 Janet McTeer,查尔斯·丹斯 Charles Dance",",剧情,爱情",",英国","22545,爱情","13776,英国","10838,温情","10412,浪漫","9533,文艺","6387,2016","5827,剧情",25929151
48,8.4,84966.0,鍵泥棒のメソッド,2012,内田贤治 Kenji Uchida,",堺雅人 Masato Sakai,香川照之 Teruyuki Kagawa,广末凉子 Ryoko Hirosue,荒川良良 YosiYosi Arakawa",",剧情,喜剧",",日本","19097,日本","11764,喜剧","8613,黑色幽默","4479,剧情","4410,2012","3600,搞笑","3369,温情",6880497
49,8.3,61686.0,Sing Street,2016,约翰·卡尼 John Carney,",福迪亚·瓦尔什-匹罗 Ferdia Walsh-Peelo,露西·宝通 Lucy Boynton,杰克·莱诺 Jack Reynor,马克·麦克肯纳 Mark McKenna",",剧情,爱情,音乐",",爱尔兰,英国,美国","11431,音乐","10390,青春","8332,爱尔兰","7767,爱情","5660,文艺","4535,成长","4290,2016",25855071
50,6.7,68070.0,American Hustle,2013,大卫·欧·拉塞尔 David O. Russell,",克里斯蒂安·贝尔 Christian Bale,布莱德利·库珀 Bradley Cooper,艾米·亚当斯 Amy Adams,杰瑞米·雷纳 Jeremy Renner",",剧情,犯罪",",美国","10614,美国","8682,犯罪","7291,剧情","3940,ChristianBale","3596,2013","3272,JenniferLawrence","3215,美国电影",6873657
51,7.8,124026.0,은밀하게 위대하게,2013,张哲秀 Cheol-soo Jang,",金秀贤 Su-hyeon Kim,李玹雨 Hyun-Woo Lee,朴基雄 Gi-woong Park,李彩英 Chae-yeong Lee",",喜剧,动作",",韩国","21137,韩国","14549,金秀贤","10426,动作","6745,剧情","6193,喜剧","6008,李玹雨","5908,温情",6057942
52,6.0,96924.0,情圣,2016,宋晓飞  Xiaofei Song,",肖央 Yang Xiao,闫妮 Ni Yan,小沈阳 Xiao Shen-Yang,乔杉 Shan Qiao",",喜剧",",中国大陆","15339,喜剧","12117,搞笑","6322,婚姻","6262,中国大陆","5850,爱情","4500,2016","4381,内地",26879060
53,6.0,77500.0,赤道,2015,梁乐民 Lok Man Leung,",张学友 Jacky Cheung,张家辉 Nick Cheung,余文乐 Shawn Yue,王学圻 Xueqi Wang",",剧情,动作,犯罪,悬疑",",香港","7235,犯罪","6933,香港","6322,香港电影","5287,动作","4382,张家辉","4276,张学友","4123,张震",24987018
54,7.9,119118.0,Ocean's Eleven,2001,Steven Soderbergh,",乔治·克鲁尼 George Clooney,布拉德·皮特 Brad Pitt,马特·达蒙 Matt Damon,朱莉娅·罗伯茨 Julia Roberts",",犯罪,惊悚",",美国","19499,犯罪","16864,美国","9022,动作","6281,剧情","4301,2001","1910,喜剧","1657,悬疑",1301578
55,7.1,76242.0,Angry Birds,2016,费格尔·雷利 Fergal Reilly,",杰森·苏戴奇斯 Jason Sudeikis,乔什·盖德 Josh Gad,丹尼·麦克布耐德 Danny McBride,玛娅·鲁道夫 Maya Rudolph",",喜剧,动画,冒险",",芬兰,美国","10747,动画","5988,美国","5727,喜剧","5668,愤怒的小鸟","5289,游戏改编","4978,搞笑","4349,2016",6873736
56,7.9,157860.0,無間道III 終極無間,2003,刘伟强 Andrew Lau,",梁朝伟 Tony Leung Chiu Wai,刘德华 Andy Lau,黎明 Leon Lai,陈道明 Daoming Chen",",动作,犯罪,剧情,惊悚",",中国大陆,香港","20842,香港","15025,无间道","12816,梁朝伟","12006,警匪","11961,香港电影","9564,刘德华","8645,黑帮",1307694
57,8.4,99927.0,김복남 살인사건의 전말,2010,张哲洙 Cheol-soo Jang,",徐英姬 Yeong-hie Seo,池成媛 Seong-won Ji,朴政学 Jeong-hak Park,白秀莲 Su-ryun Baek",",剧情,犯罪,惊悚",",韩国","18741,韩国","16689,人性","13238,犯罪","9424,惊悚","6469,暴力","5733,血腥","4983,剧情",4826419
58,4.9,159012.0,小时代2：青木时代,2013,郭敬明 Jingming Guo,",杨幂 Mi Yang,柯震东 Kai Ko,郭采洁 Amber Kuo,凤小岳 Rhydian Vaughan",",剧情,喜剧,爱情",",中国大陆,台湾","14621,小时代","13192,青春","12699,郭敬明","9727,爱情","5710,中国","4946,郭采洁","4688,成长",24721493
59,8.0,71669.0,Inside Llewyn Davis,2013,乔尔·科恩 Joel Coen,",奥斯卡·伊撒克 Oscar Isaac,凯瑞·穆里根 Carey Mulligan,约翰·古德曼 John Goodman,加内特·赫德兰 Garrett Hedlund",",剧情,音乐",",美国,英国,法国","13533,音乐","12100,科恩兄弟","9808,美国","6516,传记","4337,2013","4260,民谣","3859,美国电影",6887029
60,6.7,209414.0,山楂树之恋,2010,张艺谋 Yimou Zhang,",周冬雨 Dongyu Zhou,窦骁 Shawn Dou,奚美娟 Meijuan Xi,李雪健 Xuejian Li",",剧情,爱情",",中国大陆","37510,爱情","33165,张艺谋","15092,知青","12152,中国电影","8524,中国","8314,文學改編","7079,大陆",4151110
61,7.5,132961.0,女朋友○男朋友,2012,杨雅喆 Ya-che Yang,",桂纶镁 Lunmei Kwai,张孝全 Hsiao-chuan Chang,凤小岳 Rhydian Vaughan,张书豪 Bryan",",剧情,爱情,同性",",台湾","34389,台湾","25147,青春","20045,爱情","16803,文艺","14532,同性","9495,成长","6146,友情",6829652
62,7.5,49624.0,Stoker,2013,朴赞郁 Chan-wook Park,",米娅·华希科沃斯卡 Mia Wasikowska,妮可·基德曼 Nicole Kidman,马修·古迪 Matthew Goode,德蒙特·莫罗尼 Dermot Mulroney",",剧情,悬疑,惊悚",",美国,英国","9109,悬疑","7267,朴赞郁","6576,美国","5679,惊悚","3041,2013","2898,剧情","2677,NicoleKidman",4896894
63,8.3,171524.0,Atonement,2007,乔·怀特 Joe Wright,",詹姆斯·麦卡沃伊 James McAvoy,西尔莎·罗南 Saoirse Ronan,凯拉·奈特莉 Keira Knightley,本尼迪克特·康伯巴奇 Benedict Cumberbatch",",剧情,悬疑,爱情,战争",",英国,法国","28697,英国","24768,爱情","18303,赎罪","12964,英国电影","12218,剧情","12016,JamesMcAvoy","11684,Keira.Knightley",1950148
64,6.9,190474.0,만추,2010,金泰勇 Tae-Yong Kim,",汤唯 Wei Tang,玄彬 Bin Hyeon,金俊成 Jun-seong Kim,詹姆斯·C·伯恩斯 James C. Burns",",剧情",",韩国,美国,香港","34248,爱情","34060,文艺","25230,韩国","12455,西雅图","7370,温情","6241,剧情","5694,浪漫",4136036
65,7.3,88517.0,White House Down,2013,罗兰·艾默里奇 Roland Emmerich,",查宁·塔图姆 Channing Tatum,杰米·福克斯 Jamie Foxx,玛吉·吉伦哈尔 Maggie Gyllenhaal,杰森·克拉科 Jason Clarke",",动作,灾难",",美国","15870,动作","14980,美国","7538,白宫","5375,2013","5027,犯罪","4646,政治","3403,灾难",10746175
66,7.3,67443.0,Shame,2011,史蒂夫·麦奎因 Steve McQueen(I),",迈克尔·法斯宾德 Michael Fassbender,凯瑞·穆里根 Carey Mulligan,妮可·贝哈瑞  Nicole Beharie,露西·沃特斯 Lucy Walters",",剧情,情色",",英国","12283,情色","11820,英国","7456,人性","6322,剧情","6059,伦理","5790,心理","4231,2011",5360890
67,6.4,83699.0,Divergent,2014,尼尔·博格 Neil Burger,",谢琳·伍德蕾 Shailene Woodley,提奥·詹姆斯 Theo James,艾什莉·贾德 Ashley Judd,杰·科特尼 Jai Courtney",",动作,科幻,冒险",",美国","13693,科幻","10181,美国","7351,动作","4551,2014","3936,小说改编","3569,冒险","3136,爱情",6424814
68,7.4,115032.0,Он - дракон,2015,因达尔·詹杜巴耶夫 Indar Dzhendubaev,",马特维·雷科夫 Matvey Lykov,玛利亚·波兹哈娃 Mariya Poezzhaeva,斯坦尼斯拉夫·柳布申 Stanislav Lyubshin,彼得·罗曼诺夫 Pyotr Romanov",",爱情,奇幻,冒险",",俄罗斯","18776,爱情","18699,俄罗斯","13103,奇幻","10839,浪漫","8613,童话","8094,唯美","6562,魔幻",26726098
