,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,8.9,180480.0,リトル・フォレスト 夏・秋,2014,森淳一 Junichi Mori,",桥本爱 Ai Hashimoto,三浦贵大 Takahiro Miura,松冈茉优 Mayu Matsuoka,温水洋一 Yôichi Nukumizu",",剧情",",日本","33706,日本","28463,美食","24422,自然","23725,文艺","14830,温情","14364,小清新","14166,治愈",25814705
1,6.8,176577.0,Thor,2011,肯尼思·布拉纳 Kenneth Branagh,",克里斯·海姆斯沃斯 Chris Hemsworth,娜塔莉·波特曼 Natalie Portman,汤姆·希德勒斯顿 Tom Hiddleston,安东尼·霍普金斯 Anthony Hopkins",",动作,奇幻,冒险",",美国","23022,美国","20642,科幻","12430,漫画改编","9262,动作","8899,神话","8027,2011","7521,奇幻",1866471
2,8.0,179155.0,Men in Black,1997,巴里·索南菲尔德 Barry Sonnenfeld,",威尔·史密斯 Will Smith,汤米·李·琼斯 Tommy Lee Jones,琳达·费奥伦蒂诺 Linda Fiorentino,文森特·诺费奥 Vincent D'Onofrio",",动作,喜剧,科幻",",美国","34328,科幻","21525,美国","17879,喜剧","10594,动作","8982,搞笑","8431,外星人","5839,1997",1301445
3,8.2,147782.0,Taken,2008,皮埃尔·莫瑞尔 Pierre Morel,",Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser",",动作,犯罪,剧情,惊悚",",法国,美国,英国","26399,动作","13008,法国","11591,特工","9882,吕克贝松","7895,飓风营救","6972,美国","5422,吕克·贝松",2124586
4,7.3,130701.0,毒戰,2012,杜琪峰 Johnnie To,",孙红雷 Honglei Sun,古天乐 Louis Koo,黄奕 Yi Huang,钟汉良 Wallace Chung",",剧情,动作,犯罪",",中国大陆,香港","16705,犯罪","15106,香港","14061,警匪","6563,动作","5920,银河映像","5689,2013","5220,中国",10344754
5,7.7,125389.0,Shaun of the Dead,2004,埃德加·赖特 Edgar Wright,",西蒙·佩吉 Simon Pegg,尼克·弗罗斯特 Nick Frost,比尔·奈伊 Bill Nighy,凯特·阿什菲尔德 Kate Ashfield",",喜剧,恐怖",",英国,法国,美国","21719,黑色幽默","20101,英国","17588,喜剧","14858,僵尸","7168,英国电影","5046,SimonPegg","4514,2004",1308755
6,7.6,147949.0,Escape Plan,2013,米凯尔·哈弗斯特罗姆 Mikael Håfström,",西尔维斯特·史泰龙 Sylvester Stallone,阿诺·施瓦辛格 Arnold Schwarzenegger,詹姆斯·卡维泽 Jim Caviezel,法兰·塔希尔 Faran Tahir",",动作,惊悚",",美国","21524,动作","17946,史泰龙","16707,施瓦辛格","14694,美国","11186,犯罪","6934,悬疑","6376,2013",3025447
7,7.8,86315.0,路边野餐,2015,毕赣 Bi Gan,",陈永忠 Yongzhong Chen,谢理循 Lixun Xie,余世学 Shixue Yu,郭月 Yue Guo",",剧情",",中国大陆","12222,文艺","8282,中国","7519,长镜头","5580,剧情","5284,贵州","5011,诗","4426,奇幻",26337866
8,7.3,115086.0,괴물,2006,奉俊昊,",宋康昊,朴海日,裴斗娜,边熙峰",",剧情,科幻,惊悚,灾难",",韩国","17309,韩国","10825,科幻","10417,韩国电影","9681,怪物","8743,惊悚","6855,奉俊昊","4840,恐怖",1763134
9,7.9,213727.0,Notting Hill,1999,罗杰·米歇尔 Roger Michell,",朱莉娅·罗伯茨 Julia Roberts,休·格兰特 Hugh Grant,瑞斯·伊凡斯 Rhys Ifans,Richard McCabe",",喜剧,爱情",",英国,美国","44550,爱情","24337,JuliaRoberts","19074,浪漫","17868,HughGrant","15237,英国","15105,美国","14372,诺丁山",1298038
