,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,7.3,124893.0,欢乐颂,2016,孔笙 Sheng Kong,",刘涛 Tao Liu,蒋欣 Xin Jiang,王子文 Ziwen Wang,杨紫 Zi Yang",",剧情,爱情",",中国大陆","9736,国产电视剧","7937,电视剧","7892,国产剧","6795,刘涛","6022,2016","5503,山影","5488,蒋欣",26430092
1,4.1,95119.0,栀子花开,2015,何炅 Jiong He,",李易峰 Yifeng Li,张慧雯 Huiwen Zhang,蒋劲夫 Jinfu Jiang,魏大勋 Daxun Wei",",爱情",",中国大陆","12101,青春","9271,校园","7229,爱情","6191,梦想","5117,2015","4970,成长","4915,正能量",26021055
2,7.4,69246.0,美少年之恋,1998,杨凡 Yonfan,",冯德伦 Stephen Fung,吴彦祖 Daniel Wu,舒淇 Qi Shu,曾仕贤 Jason Tsang",",剧情,爱情,同性",",香港","12232,吴彦祖","9756,同志","9030,香港","7250,冯德伦","5623,美少年之恋","5620,香港电影","4480,爱情",1306317
3,8.9,96113.0,名探偵コナン ベイカー街の亡霊,2002,儿玉兼嗣 Kanetsugu Kodama,",高山南 Minami Takayama,山口胜平 Kappei Yamaguchi,山崎和佳奈 Wakana Yamazaki,折笠爱 Ai Orikasa",",动画,冒险,悬疑",",日本","11877,柯南","10440,剧场版","9632,日本","9566,动画","6095,名侦探柯南","5160,柯南剧场版","4765,动漫",2286642
4,6.7,13356.0,The Gift,2015,乔尔·埃哲顿 Joel Edgerton,",杰森·贝特曼 Jason Bateman,丽贝卡·豪尔 Rebecca Hall,乔尔·埃哲顿 Joel Edgerton,大卫·丹曼 David Denman",",悬疑,惊悚",",澳大利亚,美国,中国大陆","2379,悬疑","1658,惊悚","1434,美国","1170,人性","905,2015","787,犯罪","709,澳大利亚",26304268
5,7.8,77321.0,コクリコ坂から,2011,宫崎吾朗 Goro Miyazaki,",长泽雅美 Masami Nagasawa,冈田准一 Junichi Okada,香川照之 Teruyuki Kagawa,石田百合子 Yuriko Ishida",",剧情,动画",",日本","14624,日本","13733,动画","6424,青春","5983,治愈系","5164,爱情","5057,动画电影","3255,2011",5262338
6,8.6,71704.0,おおかみこどもの雨と雪,2012,细田守 Mamoru Hosoda,",宫崎葵 Aoi Miyazaki,大泽隆夫 Takao Ôsawa,黑木华 Hana Kuroki,西井幸人 Yukito Nishii",",剧情,动画,奇幻,家庭",",日本","15037,动画","13454,日本","7808,温情","6008,治愈系","5678,亲情","5048,成长","3493,2012",7064681
7,8.4,44544.0,ゴールデンスランバー,2010,中村义洋 Yoshihiro Nakamura,",堺雅人 Masato Sakai,竹内结子 Yûko Takeuchi,吉冈秀隆 Hidetaka Yoshioka,剧团一人 Gekidan Hitori",",剧情,悬疑",",日本","8289,堺雅人","8149,日本","5465,日本电影","3750,伊坂幸太郎","3412,悬疑","2446,2010","2017,剧情",3660428
8,8.1,79549.0,立春,2007,顾长卫 Changwei Gu,",蒋雯丽 Wenli Jiang,张瑶 Yao Zhang,李光洁 Guangjie Li,董璇 Xuan Dong",",剧情",",中国大陆","15074,顾长卫","10703,蒋雯丽","9386,文艺","7137,中国电影","6278,立春","5189,大陆","4541,中国",3036997
9,7.8,28164.0,るろうに剣心 京都大火編,2014,大友启史 Keishi Ohtomo,",佐藤健 Takeru Satô,武井咲 Emi Takei,青木崇高 Munetaka Aoki,苍井优 Yu Aoi",",动作,古装",",日本","5462,日本","4033,漫画改编","2779,动作","1917,武士","1727,2014","1531,真人版","1099,古装",24845115
