,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,7.9,155098.0,How to Train Your Dragon 2,2014,迪恩·德布洛斯 Dean DeBlois,",杰伊·巴鲁切尔 Jay Baruchel,凯特·布兰切特 Cate Blanchett,杰拉德·巴特勒 Gerard Butler,克雷格·费格森 Craig Ferguson",",喜剧,动画,奇幻,冒险",",美国","27287,动画","17075,梦工厂","15534,美国","8374,冒险","8334,奇幻","8039,2014","4948,喜剧",4824512
1,6.3,82387.0,叶问3,2015,叶伟信 Wilson Yip,",甄子丹 Donnie Yen,迈克·泰森 Mike Tyson,张晋 Jin Zhang,熊黛林 Lynn Hung",",剧情,传记,动作,历史",",中国大陆,香港","9971,动作","7561,功夫","7409,香港","6478,咏春","3913,武侠","3743,传记","2798,剧情",11598977
2,7.4,91946.0,寄生獣,2014,山崎贵 Takashi Yamazaki,",染谷将太 Shôta Sometani,深津绘里 Eri Fukatsu,阿部隆史 Sadao Abe,桥本爱 Ai Hashimoto",",剧情,动作,科幻,恐怖",",日本","14662,日本","9471,漫画改编","8884,科幻","5105,惊悚","4170,恐怖","3888,人性","3542,2014",25774050
3,8.9,286848.0,The Sound of Music,1965,Robert Wise,",朱丽·安德鲁斯 Julie Andrews,克里斯托弗·普卢默 Christopher Plummer,埃琳诺·帕克 Eleanor Parker,理查德·海顿 Richard Haydn",",剧情,传记,爱情,歌舞",",美国","43356,经典","41827,音乐剧","26580,美国","24579,音乐之声","21337,音乐","15900,歌舞","15574,爱情",1294408
4,7.5,192078.0,竊聽風雲,2009,麦兆辉 Alan Mak,",刘青云 Sean Lau,古天乐 Louis Koo,吴彦祖 Daniel Wu,张静初 Jingchu Zhang",",动作,剧情,惊悚",",香港,中国大陆,新加坡","37909,香港","21730,警匪","17242,犯罪","11878,剧情","9149,悬疑","8873,2009","3896,帅哥",3412882
5,7.8,196613.0,King Kong,2005,彼得·杰克逊 Peter Jackson,",娜奥米·沃茨 Naomi Watts,杰克·布莱克 Jack Black,艾德里安·布洛迪 Adrien Brody,托马斯·克莱舒曼 Thomas Kretschmann",",动作,奇幻,冒险",",新西兰,美国,德国","25675,科幻","23996,美国","17355,爱情","17042,金刚","9728,经典","5835,魔幻","4659,电影",1309043
6,7.6,172621.0,X-Men,2000,布莱恩·辛格 Bryan Singer,",休·杰克曼 Hugh Jackman,帕特里克·斯图尔特 Patrick Stewart,伊恩·麦克莱恩 Ian McKellen,法米克·詹森 Famke Janssen",",动作,科幻",",美国,加拿大","27800,科幻","18972,美国","16953,X战警","13024,动作","9959,漫画改编","6881,美国电影","5850,2000",1295250
7,6.8,136880.0,Cinderella,2015,肯尼思·布拉纳 Kenneth Branagh,",莉莉·詹姆斯 Lily James,理查德·麦登 Richard Madden,凯特·布兰切特 Cate Blanchett,海莉·阿特维尔 Hayley Atwell",",爱情,奇幻,冒险",",美国,英国","17417,童话","12374,迪士尼","11910,美国","11254,爱情","7692,奇幻","6619,2015","5550,浪漫",6875263
8,7.6,200120.0,Harry Potter and the Half-Blood Prince,2009,大卫·叶茨 David Yates,",Daniel Radcliffe,Emma Watson,Rupert Grint,Tom Felton",",剧情,奇幻,冒险",",英国,美国","27278,魔幻","8193,2009","6939,小说改编","6795,成长","6538,青春","4564,剧情","3221,悬疑",1433330
9,7.2,87059.0,Chappie,2015,尼尔·布洛姆坎普 Neill Blomkamp,",休·杰克曼 Hugh Jackman,西格妮·韦弗 Sigourney Weaver,沙尔托·科普雷 Sharlto Copley,戴夫·帕特尔 Dev Patel",",动作,科幻,惊悚",",美国,墨西哥,南非","14924,科幻","8823,人工智能","8285,美国","5318,动作","4899,2015","3135,休·杰克曼","2279,南非",6846893
10,7.8,174796.0,Vicky Cristina Barcelona,2008,伍迪·艾伦 Woody Allen,",丽贝卡·豪尔 Rebecca Hall,斯嘉丽·约翰逊 Scarlett Johansson,哈维尔·巴登 Javier Bardem,佩妮洛普·克鲁兹 Penélope Cruz",",剧情,爱情",",西班牙,美国","23642,爱情","21955,伍迪·艾伦","15289,WoodyAllen","13951,美国","11324,午夜巴塞罗那","10303,ScarlettJohansson","7182,美国电影",1981242
11,8.5,126860.0,Snatch,2000,盖·里奇 Guy Ritchie,",布拉德·皮特 Brad Pitt,本尼西奥·德尔·托罗 Benicio Del Toro,杰森·斯坦森 Jason Statham,丹尼斯·法里纳 Dennis Farina",",喜剧,犯罪",",英国,美国","27239,黑色幽默","17537,英国","12947,犯罪","11632,喜剧","11315,GuyRitchie","7506,BradPitt","7211,黑帮",1301171
12,7.2,158028.0,叶问2：宗师传奇,2010,叶伟信 Wilson Yip,",甄子丹 Donnie Yen,洪金宝 Sammo Hung Kam-Bo,熊黛林 Lynn Hung,黄晓明 Xiaoming Huang",",动作,传记,历史",",中国大陆,香港","25742,动作","14217,香港","6624,2010","6038,功夫","4376,传记","3118,武侠","2039,剧情",3578981
13,8.0,156677.0,Mission: Impossible,1996,布莱恩·德·帕尔玛 Brian De Palma,",汤姆·克鲁斯 Tom Cruise,强·沃特 Jon Voight,让·雷诺 Jean Reno,艾曼纽·贝阿 Emmanuelle Béart",",动作,冒险,惊悚",",美国","22993,动作","18099,特工","10098,美国电影","9035,经典","6886,间谍","6080,1996","4771,悬疑",1292484
14,8.6,188726.0,The Matrix Revolutions,2003,Andy Wachowski,",Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Monica Bellucci",",动作,科幻",",美国,澳大利亚","35971,科幻","19381,美国","18379,动作","14436,黑客帝国","13126,经典","9297,哲学","7593,KeanuReeves",1302467
15,7.0,199509.0,愛,2012,钮承泽 Doze Niu,",舒淇 Qi Shu,赵薇 Wei Zhao,赵又廷 Mark,阮经天 Ching-Tien Juan",",剧情,爱情",",台湾,中国大陆","39393,爱情","23483,台湾","7147,青春","6123,文艺","3329,中国","3058,喜剧","3057,温情",6730004
16,7.6,147521.0,X-Men: The Last Stand,2006,Brett Ratner,",休·杰克曼 Hugh Jackman,哈莉·贝瑞 Halle Berry,伊恩·麦克莱恩 Ian McKellen,帕特里克·斯图尔特 Patrick Stewart",",动作,科幻,惊悚",",美国,加拿大,英国","22817,科幻","15907,美国","14794,X战警","10833,动作","8661,漫画改编","5894,美国电影","5154,2006",1401524
17,7.0,183186.0,厨子戏子痞子,2013,管虎 Hu Guan,",刘烨 Ye Liu,张涵予 Hanyu Zhang,黄渤  Bo Huang,田中千绘 Chie Tanaka",",喜剧,动作",",中国大陆","20990,喜剧","14982,黑色幽默","13156,中国","8290,2013","7950,国产","6424,搞笑","6016,剧情",6011806
18,8.8,233847.0,菊次郎の夏,1999,北野武 Takeshi Kitano,",北野武 Takeshi Kitano,关口雄介 Yusuke Sekiguchi,岸本加世子 Kayoko Kishimoto,Gurêto Gidayû",",剧情,喜剧",",日本","46493,北野武","37850,日本","33734,温情","25960,菊次郎的夏天","22070,成长","20280,日本电影","18720,童年",1293359
19,8.1,147067.0,The Others,2001,亚历桑德罗·阿曼巴 Alejandro Amenábar,",妮可·基德曼 Nicole Kidman,菲奥纽拉·弗拉纳根 Fionnula Flanagan,克里斯托弗·埃克莱斯顿 Christopher Eccleston,阿拉济纳·曼恩 Alakina Mann",",剧情,悬疑,恐怖",",美国,西班牙,法国,意大利","28430,惊悚","28376,悬疑","14521,美国","13800,恐怖","12526,NicoleKidman","6657,小岛惊魂","6035,美国电影",1301459
20,8.0,201973.0,疯狂的赛车,2009,宁浩 Hao Ning,",黄渤 Bo Huang,戎祥 Cheung Yung,九孔 Kong Jiu,徐峥 Zheng Xu",",动作,冒险,喜剧",",中国大陆","26288,宁浩","25300,喜剧","24693,黑色幽默","16385,黄渤","9668,中国电影","8364,中国","8223,大陆",2124703
21,6.9,100377.0,Terminator Genisys,2015,阿兰·泰勒 Alan Taylor,",阿诺·施瓦辛格 Arnold Schwarzenegger,杰森·克拉科 Jason Clarke,艾米莉亚·克拉克 Emilia Clarke,杰·科特尼 Jai Courtney",",动作,科幻,冒险",",美国","14705,科幻","9858,美国","9707,阿诺·施瓦辛格","9516,动作","8821,终结者","5856,2015","4170,经典",3338862
22,8.0,138924.0,百鸟朝凤,2013,吴天明 Tian-Ming Wu,",陶泽如 Zeru Tao,李岷城 Mincheng Li,嵇波 Bo Ji,胡先煦 Xianxu Hu",",剧情",",中国大陆","19566,传承","13696,文艺","9563,国产","9388,中国大陆","8905,剧情","7640,人生","6287,文化",10831445
23,8.2,243395.0,Corpse Bride,2005,蒂姆·波顿 Tim Burton,",约翰尼·德普 Johnny Depp,海伦娜·伯翰·卡特 Helena Bonham Carter,艾米丽·沃森 Emily Watson,崔茜·尤玛 Tracey Ullman",",剧情,动画,奇幻",",美国,英国","46000,动画","22739,僵尸新娘","21710,爱情","19113,美国","6547,卡通","5795,英国","4457,奇幻",1309060
24,7.6,152275.0,X2,2003,布莱恩·辛格 Bryan Singer,",帕特里克·斯图尔特 Patrick Stewart,休·杰克曼 Hugh Jackman,伊恩·麦克莱恩 Ian McKellen,哈莉·贝瑞 Halle Berry",",动作,科幻,惊悚",",美国,加拿大","23895,科幻","16627,美国","14997,X战警","11313,动作","8785,漫画改编","6105,美国电影","5295,2003",1305724
25,6.2,65864.0,Inferno,2016,朗·霍华德 Ron Howard,",汤姆·汉克斯 Tom Hanks,费莉西蒂·琼斯 Felicity Jones,本·福斯特 Ben Foster,奥玛·赛 Omar Sy",",悬疑,惊悚",",美国,匈牙利","8567,悬疑","6116,美国","6009,达芬奇系列","5295,宗教","4069,小说改编","3930,剧情","3135,犯罪",24860318
26,9.1,141770.0,Black Mirror,2013,欧文·哈里斯 Owen Harris,",海莉·阿特维尔 Hayley Atwell,多姆纳尔·格利森 Domhnall Gleeson,塔彭丝·米德尔顿 Tuppence Middleton,勒诺拉·克里奇洛 Lenora Crichlow",",剧情,科幻,惊悚",",英国","30406,英剧","15294,黑色幽默","11541,科幻","10993,英国","8901,人性","8472,BBC","5726,2013",11502153
27,6.9,116833.0,Ender's Game,2013,加文·胡德 Gavin Hood,",阿沙·巴特菲尔德 Asa Butterfield,哈里森·福特 Harrison Ford,海莉·斯坦菲尔德 Hailee Steinfeld,阿比盖尔·布蕾斯琳 Abigail Breslin",",动作,科幻,冒险",",美国","26122,科幻","14188,美国","8213,小说改编","5351,成长","4971,2013","4797,美国电影","3824,心理",5323957
28,8.7,129526.0,Requiem for a Dream,2000,达伦·阿伦诺夫斯基 Darren Aronofsky,",艾伦·伯斯汀 Ellen Burstyn,杰瑞德·莱托 Jared Leto,詹妮弗·康纳利 Jennifer Connelly,马龙·韦恩斯 Marlon Wayans",",剧情",",美国","20005,黑色","18931,毒品","18630,美国","12332,剧情","7720,美国电影","6344,Cult","5756,人性",1292270
29,7.9,143513.0,Kill Bill: Vol. 2,2004,昆汀·塔伦蒂诺 Quentin Tarantino,",乌玛·瑟曼 Uma Thurman,大卫·卡拉丁 David Carradine,刘家辉 Chia Hui Liu,薇薇卡·福克斯 Vivica A. Fox",",动作,犯罪,惊悚",",美国","16183,暴力","14590,美国","13778,动作","4583,2004","3971,暴力美学","3108,犯罪","2415,血腥",1291584
30,8.3,213444.0,Interview with the Vampire: The Vampire Chronicles,1994,尼尔·乔丹 Neil Jordan,",布拉德·皮特 Brad Pitt,汤姆·克鲁斯 Tom Cruise,克斯汀·邓斯特 Kirsten Dunst,克里斯蒂安·史莱特 Christian Slater",",剧情,奇幻,惊悚",",美国","45730,吸血鬼","23440,美国","19442,布拉德·皮特","17164,经典","11448,BradPitt","11203,惊悚","10340,魔幻",1299327
31,4.2,136394.0,九层妖塔,2015,陆川 Chuan Lu,",赵又廷 Mark Chao,姚晨 Chen Yao,凤小岳 Rhydian Vaughan,李晨 Chen Li",",动作,惊悚,冒险",",中国大陆","8905,鬼吹灯","8536,奇幻","7227,冒险","7142,陆川","5769,中国","5720,2015","5542,中国电影",24827406
32,8.6,199796.0,Lord of War,2005,安德鲁·尼科尔 Andrew Niccol,",尼古拉斯·凯奇 Nicolas Cage,布丽姬·穆娜 Bridget Moynahan,杰瑞德·莱托 Jared Leto,伊安·霍姆 Ian Holm",",剧情,犯罪",",美国,法国","33325,尼古拉斯·凯奇","25313,战争","21574,美国","15930,剧情","11437,战争之王","8766,NicolasCage","8755,美国电影",1419936
33,7.9,99313.0,Blue Jasmine,2013,伍迪·艾伦 Woody Allen,",凯特·布兰切特 Cate Blanchett,莎莉·霍金斯 Sally Hawkins,亚历克·鲍德温 Alec Baldwin,Andrew Dice Clay",",剧情,家庭",",美国","13853,伍迪·艾伦","11213,美国","8871,WoodyAllen","7933,CateBlanchett","6832,剧情","4599,2013","4259,美国电影",10576419
34,8.6,167786.0,Terminator 2: Judgment Day,1991,詹姆斯·卡梅隆 James Cameron,",阿诺·施瓦辛格 Arnold Schwarzenegger,琳达·汉密尔顿 Linda Hamilton,爱德华·福隆 Edward Furlong,罗伯特·帕特里克 Robert Patrick",",动作,科幻",",美国,法国","30291,科幻","22335,施瓦辛格","18722,动作","15711,美国","14107,经典","12665,终结者","7020,美国电影",1291844
35,7.6,193661.0,少林足球,2001,周星驰 Stephen Chow,",周星驰 Stephen Chow,赵薇 Wei Zhao,吴孟达 Man Tat Ng,谢贤 Yin Tse",",动作,喜剧,运动",",香港,中国大陆","36189,周星驰","25547,喜剧","17388,香港","11315,香港电影","9044,搞笑","7575,动作","7322,少林足球",1297747
36,7.8,171670.0,The Mask,1994,Chuck Russell,",Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene",",喜剧,奇幻",",美国","27850,喜剧","18942,JimCarrey","17831,美国","10940,搞笑","9887,变相怪杰","8059,美国电影","7023,科幻",1297570
37,8.0,163667.0,"I, Robot",2004,亚历克斯·普罗亚斯 Alex Proyas,",威尔·史密斯 Will Smith,布丽姬·穆娜 Bridget Moynahan,艾伦·图代克 Alan Tudyk,布鲁斯·格林伍德 Bruce Greenwood",",动作,悬疑,科幻,惊悚",",美国,德国","33696,科幻","17423,美国","16225,WillSmith","15001,机器人","12248,动作","11182,威尔·史密斯","7103,美国电影",1308843
38,8.8,140356.0,Before Midnight,2013,理查德·林克莱特 Richard Linklater,",伊桑·霍克 Ethan Hawke,朱莉·德尔佩 Julie Delpy,肖姆斯·戴维-菲茨帕特里克 Seamus Davey-Fitzpatrick,Jennifer Prior",",剧情,爱情",",美国","34566,爱情","18025,文艺","17813,美国","11375,人生","10144,浪漫","7690,2013","5972,温情",10808442
39,7.8,143619.0,El laberinto del fauno,2006,吉尔莫·德尔·托罗 Guillermo del Toro,",伊万娜·巴克罗 Ivana Baquero,塞吉·洛佩兹 Sergi López,玛丽贝尔· 瓦度 Maribel Verdú,道格·琼斯 Doug Jones",",剧情,奇幻,悬疑,战争",",西班牙,墨西哥,美国","25271,魔幻","21909,西班牙","14590,奇幻","12909,童话","11888,潘神的迷宫","10851,战争","5187,2006",1767042
