,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,4.7,93863.0,白蛇传说,2011,程小东 Siu-Tung Ching,",李连杰 Jet Li,黄圣依 Eva Huang,林峰 Raymond Lam,蔡卓妍 Charlene Choi",",动作,爱情,奇幻,古装",",中国大陆","9200,李连杰","7119,黄圣依","5644,中国电影","5216,爱情","4599,蔡卓妍","4067,2011","3471,程小东",4942778
1,6.4,66505.0,痞子英雄,2012,蔡岳勋 Yueh-Hsun Tsai,",黄渤  Bo Huang,赵又廷 Mark,杨颖 Angelababy,关颖 Terri Kwan",",剧情,动作,犯罪",",中国大陆,台湾","9126,台湾","8686,动作","6232,警匪","3318,2012","3247,犯罪","2014,剧情","1622,中国电影",4154669
2,6.8,84429.0,Mean Girls,2004,马克·沃特斯 Mark Waters,",琳赛·洛翰 Lindsay Lohan,瑞秋·麦克亚当斯 Rachel McAdams,蒂娜·菲 Tina Fey,蒂姆·麦道斯 Tim Meadows",",喜剧",",美国,加拿大","15444,青春","13509,美国","12675,校园","6943,喜剧","6462,LindsayLohan","5251,美国电影","2342,爱情",1309084
3,6.6,62391.0,大上海,2012,王晶 Jing Wong,",周润发 Yun-Fat Chow,黄晓明 Xiaoming Huang,洪金宝 Sammo Hung Kam-Bo,吴镇宇 Francis Ng",",剧情,动作",",中国大陆,香港","8762,周润发","4922,吴镇宇","4508,王晶","4332,黑帮","4288,黄晓明","3876,香港电影","3504,香港",10540066
4,4.8,73889.0,京城81号,2014,叶伟民 Wai Man Yip,",吴镇宇 Francis Ng,林心如 Ruby Lin,杨佑宁 Tony Yang,秦海璐 Hailu Qin",",剧情,悬疑,恐怖",",中国大陆","8434,惊悚","6576,恐怖","5534,吴镇宇","5090,林心如","4801,悬疑","3441,中国电影","3229,2014",20513061
5,7.1,39312.0,더 웹툰 : 예고살인,2013,金容钧 Yong-gyun Kim,",严基俊 Ki-joon Um,李诗英 Si-Young Lee,金显祐 Hyun-woo Kim,吴光禄 Kwang-rok Oh",",犯罪,悬疑,惊悚",",韩国","7699,韩国","7649,恐怖","5424,惊悚","3952,悬疑","2306,人性","2252,犯罪","1824,2013",24695966
6,9.1,70884.0,Breaking Bad ,2009,亚当·伯恩斯坦 Adam Bernstein,",布莱恩·科兰斯顿 Bryan Cranston,亚伦·保尔 Aaron Paul,安娜·冈 Anna Gunn,克里斯滕·蕊特 Krysten Ritter",",犯罪,剧情",",美国","14021,美剧","8300,犯罪","4818,毒品","4226,美国","3159,剧情","3137,AMC","2666,电视剧",3586996
7,6.9,97928.0,向左走．向右走,2003,杜琪峰 Johnnie To,",金城武 Takeshi Kaneshiro,梁咏琪 Gigi Leung,关颖 Terri Kwan,陈之财 Edmund Chen",",爱情",",香港,新加坡","17074,爱情","10982,香港","3919,文艺","1894,2003","1820,中国","1733,浪漫","1726,港台",1308587
8,6.3,67944.0,赤裸特工,2002,程小东,",Maggie Q,安雅,吴彦祖,李菲",",动作,剧情,爱情,惊悚",",香港","9701,动作","9561,香港","6608,吴彦祖","5535,香港电影","4252,MaggieQ","3316,赤裸特工","3069,犯罪",1307762
9,8.7,97486.0,さよならぼくたちのようちえん,2011,水田伸生 Nobuo Mizuta,",芦田爱菜 Ashida Mana,满岛光 Hikari Mitsushima,桥本智哉 Tomoya Hashimoto,本田望结 Miyu Honda",",剧情",",日本","26107,日本","18308,童年","14325,温情","9167,感人","9014,成长","8380,儿童","4557,2011",5960606
10,7.5,42309.0,In Your Eyes,2014,Brin Hill,",迈克尔·斯塔尔·大卫  Michael Stahl-David,佐伊·卡赞 Zoe Kazan,妮基·瑞德 Nikki Reed,詹妮弗·格雷 Jennifer Grey",",剧情,爱情,奇幻",",美国","10498,爱情","6506,美国","5548,小清新","4525,文艺","3810,科幻","2699,奇幻","2639,温情",10549480
11,7.4,75964.0,Four Weddings and a Funeral,1994,迈克·内威尔 Mike Newell,",休·格兰特 Hugh Grant,安迪·麦克道威尔 Andie MacDowell,詹姆斯·弗雷特 James Fleet,西蒙·卡洛 Simon Callow",",喜剧,爱情,剧情",",英国","14801,英国","13354,爱情","9070,HughGrant","8683,喜剧","6111,英国电影","3654,经典","3501,四个婚礼和一个葬礼",1294950
12,7.7,71844.0,Leap Year,2010,安南德·图克尔 Anand Tucker,None,",喜剧,爱情",",美国,爱尔兰","17338,爱情","11510,爱尔兰","8178,喜剧","7591,美国","6451,浪漫","3868,温情","3545,闰年",3036464
13,7.5,32704.0,Genius,2016,迈克尔·格兰达吉 Michael Grandage,",科林·费尔斯 Colin Firth,裘德·洛 Jude Law,妮可·基德曼 Nicole Kidman,劳拉·琳妮 Laura Linney",",剧情,传记",",英国,美国","5141,传记","3264,文学","3162,美国","2664,英国","2652,剧情","2479,文艺","2462,真人真事改编",5262339
14,8.2,41406.0,Being John Malkovich,1999,Spike Jonze,",John Cusack,Cameron Diaz,John Malkovich,Catherine Keener",",喜剧,剧情,奇幻,爱情",",美国","7615,美国","6705,黑色幽默","6030,奇幻","3029,剧情","2951,科幻","2855,美国电影","2450,1999",1292279
15,7.8,52929.0,クローズZERO II,2009,三池崇史,",小栗旬 Shun Oguri,矢部享佑 Kyôsuke Yabe,黑木明纱 Meisa Kuroki,高冈苍甫 Sosuke Takaoka",",动作",",日本","8103,日本","7265,小栗旬","5988,暴力","4874,青春","4348,校园","3883,三池崇史","3147,热血高校",3074408
16,8.5,115377.0,The Phantom of the Opera,2004,乔·舒马赫 Joel Schumacher,",杰拉德·巴特勒 Gerard Butler,埃米·罗森 Emmy Rossum,帕特里克·威尔森 Patrick Wilson,米兰达·理查森 Miranda Richardson",",剧情,爱情,惊悚,音乐",",英国,美国","21545,音乐剧","13614,爱情","10705,美国","10687,经典","8509,歌剧","6418,音乐","4338,歌舞",1291554
17,7.1,53254.0,Anna Karenina,2012,乔·怀特 Joe Wright,",凯拉·耐特丽 Keira Knightley,裘德·洛 Jude Law,米歇尔·道克瑞 Michelle Dockery,凯莉·麦克唐纳 Kelly Macdonald",",剧情,爱情",",英国","11421,名著改编","10894,英国","8523,爱情","4981,文艺","3416,2012","3119,女性","2681,剧情",6110546
18,7.7,37589.0,Lincoln,2012,史蒂文·斯皮尔伯格 Steven Spielberg,",丹尼尔·戴-刘易斯 Daniel Day-Lewis,莎莉·菲尔德 Sally Field,大卫·斯特雷泽恩 David Strathairn,约瑟夫·高登-莱维特 Joseph Gordon-Levitt",",剧情,传记,历史",",美国","10772,传记","8703,美国","5955,历史","5860,史蒂文·斯皮尔伯格","2680,美国电影","2600,2012","2514,StevenSpielberg",1889242
19,7.7,64843.0,Red Dragon,2002,布莱特·拉特纳 Brett Ratner,",Anthony Hopkins,Edward Norton,Ralph Fiennes,Harvey Keitel",",犯罪,惊悚",",美国,德国","10108,惊悚","9156,犯罪","8775,悬疑","7155,美国","6586,心理","4275,EdwardNorton","2979,美国电影",1305053
20,8.0,48933.0,狗咬狗,2006,郑保瑞 Pou-Soi Cheang,",陈冠希 Edison Chen,李璨琛 Sam Lee,裴唯莹 Weiying Pei,张兆辉 Siu-Fai Cheung",",动作,犯罪,剧情,惊悚",",香港","7335,陈冠希","7079,香港","6117,暴力","4614,香港电影","3550,动作","2916,狗咬狗","2275,警匪",1853160
21,7.9,110174.0,늑대소년,2012,赵圣熙 Sung-Hee Jo,",宋仲基 Joong-ki Song,朴宝英 Bo-yeong Park,柳演锡 Yeon-Seok Yoo,张荣男 Young-nam Jang",",爱情,奇幻",",韩国","19387,韩国","14521,爱情","11223,纯爱","8641,感人","8195,温情","6711,感动","5502,人性",6844868
22,4.5,98325.0,画壁,2011,陈嘉上 Gordon Chan,",邓超 Chao Deng,孙俪 Betty Sun,闫妮 Ni Yan,郑爽 Shuang Zheng",",剧情,动作,爱情,奇幻",",中国大陆,香港","7256,爱情","7069,中国电影","6867,画壁","6126,孙俪","5706,邓超","4078,中国","3168,陈嘉上",5194471
23,6.8,67487.0,House of Wax,2005,佐米·希尔拉 Jaume Collet-Serra,",Elisha Cuthbert,Chad Michael Murray,Brian Van Holt,Paris Hilton",",恐怖,惊悚",",美国,澳大利亚","12754,恐怖","10574,惊悚","7514,美国","5918,血腥","4310,恐怖蜡像馆","2828,美国电影","2642,悬疑",1309184
24,6.1,58571.0,I Am Number Four,2011,D·J·卡卢索 D.J. Caruso,",亚历克斯·帕蒂弗 Alex Pettyfer,蒂莫西·奥利芬特 Timothy Olyphant,泰莉莎·帕尔墨 Teresa Palmer,迪安娜·阿格隆 Dianna Agron",",动作,科幻,惊悚",",美国","15023,科幻","8566,美国","6007,动作","4811,美国电影","3445,2011","2051,美少年","1603,电影",3824339
25,,0.0,建党伟业,2011,韩三平 Sanping Han,",刘烨 Ye Liu,冯远征 Yuanzheng Feng,张嘉译 Jiayi Zhang,陈坤 Kun Chen",",剧情,历史",",中国大陆,香港","9676,历史","7214,主旋律","6029,政治","3867,2011","2296,中国大陆","2104,史诗","1421,剧情",4073898
26,7.4,50731.0,Banlieue 13 - Ultimatum,2009,Patrick Alessandrin,",David Belle,Cyril Raffaelli,Philippe Torreton,Daniel Duval",",动作,犯罪",",法国","9324,动作","7264,法国","6222,跑酷","5009,吕克·贝松","2907,法国电影","2478,暴力","2030,暴力街区2",3114109
27,8.4,74678.0,The Walking Dead,2010,弗兰克·德拉邦特 Frank Darabont,",安德鲁·林肯 Andrew Lincoln,乔·博恩瑟 Jon Bernthal,劳瑞·侯登 Laurie Holden,莎拉·韦恩·卡丽丝 Sarah Wayne Callies",",剧情,恐怖",",美国","19446,美剧","12367,丧尸","6574,僵尸","5899,恐怖","4827,美国","3873,AMC","3621,电视剧",4067152
28,8.4,83500.0,麥兜‧噹噹伴我心,2012,谢立文 Brian Tse,",黄秋生 Anthony Wong Chau-Sang,吴君如 Sandra Ng,胡歌 Ge Hu,郑中基 Ronald Cheng",",喜剧,动画",",中国大陆,香港","15175,动画","12542,香港","9549,温情","5747,成长","4277,2012","3954,童年","3362,励志",10772258
29,8.4,49955.0,キッズ・リターン,1996,北野武 Takeshi Kitano,",金子贤 Ken Kaneko,安藤政信 Masanobu Andô,石桥凌 Ryo Ishibashi,森本治行 Leo Morimoto",",剧情",",日本","17549,北野武","11025,日本","8519,青春","5740,日本电影","5157,成长","4463,坏孩子的天空","2539,1996",1299062
30,7.4,43007.0,Lion,2016,加斯·戴维斯 Garth Davis,",戴夫·帕特尔 Dev Patel,鲁妮·玛拉 Rooney Mara,大卫·文翰 David Wenham,妮可·基德曼 Nicole Kidman",",剧情",",澳大利亚,英国,美国","6165,真实故事改编","5048,印度","4929,亲情","3939,澳大利亚","3623,剧情","2751,感人","2739,传记",26220650
31,8.6,100261.0,昼顔～平日午後3時の恋人たち～,2014,西谷弘 Hiroshi Nishitani,",上户彩 Aya Ueto,斋藤工 Takumi Saitô,吉濑美智子 Michiko Kichise,北村一辉 Kazuki Kitamura",",剧情,爱情",",日本","23336,日剧","9240,上戸彩","8210,日本","7054,爱情","5462,吉瀬美智子","4529,2014","3994,人性",25897313
32,8.6,122698.0,Front of the Class,2008,彼得·维纳 Peter Werner,",詹姆斯·沃克 James Wolk,特里特·威廉斯 Treat Williams,多米尼克·斯科特·凯伊 Dominic Scott Kay,莎拉·德鲁 Sarah Drew",",剧情,传记",",美国","40601,励志","18623,美国","14151,感动","13593,成长","8442,美国电影","6945,剧情","6871,教师",4798888
33,8.6,82438.0,Persepolis,2007,文森特·帕兰德 Vincent Paronnaud,",基娅拉·马斯特洛亚尼 Chiara Mastroianni,达尼埃尔·达里约 Danielle Darrieux,凯瑟琳·德纳芙 Catherine Deneuve,西蒙·阿布卡瑞安 Simon Abkarian",",剧情,传记,动画",",法国,美国","18744,动画","13596,伊朗","10129,法国","8371,我在伊朗长大","5105,法国电影","4502,动画片","3383,2007",1962116
34,7.2,31567.0,Panic Room,2002,David Fincher,",Jodie Foster,Kristen Stewart,Forest Whitaker,Dwight Yoakam",",惊悚",",美国","5565,惊悚","4518,大卫·芬奇","4041,美国","3432,悬疑","2984,犯罪","1867,DavidFincher","1832,JodieFoster",1306911
35,8.6,76697.0,我们俩,2005,马俪文 Liwen Ma,",宫哲 Zhe Gong,金雅琴 Yaqin Jin,张淑芳 Shufang Zhang,孙捷 Jie Sun",",剧情",",中国大陆","14617,温情","6729,亲情","2082,剧情","1910,中国大陆","1738,感人","1603,2005","1509,文艺",1756073
36,6.4,15527.0,The Girl on the Train,2016,泰特·泰勒 Tate Taylor,",艾米莉·布朗特 Emily Blunt,卢克·伊万斯 Luke Evans,海莉·贝内特 Haley Bennett,丽贝卡·弗格森 Rebecca Ferguson",",剧情,悬疑,惊悚",",美国","2841,悬疑","2020,美国","1464,犯罪","1313,惊悚","1255,剧情","1247,2016","1141,小说改编",26413089
37,6.6,22876.0,Jackie,2016,帕布罗·拉雷恩 Pablo Larraín,",娜塔莉·波特曼 Natalie Portman,彼得·萨斯加德 Peter Sarsgaard,格蕾塔·葛韦格 Greta Gerwig,比利·克鲁德普 Billy Crudup",",剧情,传记,历史",",美国,法国,智利","3725,传记","3614,美国","2356,历史","2157,女性","1723,2016","1681,剧情","1023,奥斯卡",4849728
38,7.3,11887.0,American Honey,2016,安德里亚·阿诺德 Andrea Arnold,",萨莎·莱恩 Sasha Lane,希亚·拉博夫 Shia LaBeouf,丽莉·克亚芙 Riley Keough,麦考尔·隆巴蒂 McCaul Lombardi",",剧情",",美国,英国","2187,美国","1800,青春","1557,公路","1172,成长","1158,2016","927,剧情","606,戛纳",25884741
39,7.5,43759.0,Frankenweenie,2012,蒂姆·波顿 Tim Burton,",马丁·肖特 Martin Short,凯瑟琳·欧·哈拉 Catherine O'Hara,马丁·兰道 Martin Landau,薇诺娜·瑞德 Winona Ryder",",喜剧,科幻,动画,恐怖",",美国","10130,动画","6202,美国","5308,哥特","3746,科幻","3263,黑色","2460,定格动画","2310,2012",2336783
40,8.9,47466.0,Ladri di biciclette,1948,Vittorio De Sica,",朗培尔托·马齐奥拉尼 Lamberto Maggiorani,恩佐·斯泰奥拉 Enzo Staiola,莉安拉·卡雷尔 Lianella Carell,吉诺·萨尔塔梅伦达 Gino Saltamerenda",",犯罪,剧情",",意大利","13338,意大利","9103,新现实主义","5374,经典","5220,黑白","2786,剧情","1967,1948","1809,人性",1295873
41,7.1,63231.0,Jurassic Park III,2001,乔·庄斯顿 Joe Johnston,",山姆·尼尔 Sam Neill,威廉姆·H·梅西 William H. Macy,蒂娅·里欧妮 Téa Leoni,亚历桑德罗·尼沃拉 Alessandro Nivola",",动作,冒险,科幻,惊悚",",美国","10389,科幻","6993,美国","5240,侏罗纪公园","4353,恐龙","3932,斯皮尔伯格","2674,惊悚","2661,美国电影",1304643
