,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,6.7,173389.0,Batman v Superman: Dawn of Justice,2016,扎克·施奈德 Zack Snyder,",本·阿弗莱克 Ben Affleck,亨利·卡维尔 Henry Cavill,艾米·亚当斯 Amy Adams,盖尔·加朵 Gal Gadot",",动作,科幻,奇幻,冒险",",美国","20059,DC","18619,超级英雄","16181,美国","14473,科幻","12129,漫画改编","11005,动作","9871,2016",24750534
1,7.3,438758.0,失恋33天,2011,滕华涛 Hua-Tao Teng,",白百何 Baihe Bai,文章 Zhang Wen,张嘉译 Jiayi Zhang,王耀庆 David Wang",",剧情,爱情",",中国大陆","91826,爱情","42508,文艺","31314,中国","29240,喜剧","28198,青春","21543,内地","21182,2011",4873490
2,7.8,235040.0,解救吾先生,2015,丁晟 Sheng Ding,",刘德华 Andy Lau,刘烨 Ye Liu,吴若甫 Ruofu Wu,王千源 Qianyuan Wang",",剧情,犯罪",",中国大陆","29543,犯罪","16432,中国大陆","16115,剧情","11088,2015","11048,警匪","10642,人性","9064,惊险",25798448
3,8.7,580737.0,Le fabuleux destin d'Amélie Poulain,2001,让-皮埃尔·热内 Jean-Pierre Jeunet,",奥黛丽·塔图 Audrey Tautou,马修·卡索维茨 Mathieu Kassovitz,吕费斯 Rufus,洛莱拉·克拉沃塔 Lorella Cravotta",",喜剧,爱情",",法国,德国","94892,法国","60170,奥黛丽·塔图","58114,爱情","53860,法国电影","50169,经典","40709,文艺","32635,喜剧",1292215
4,7.6,306115.0,Pacific Rim,2013,吉尔莫·德尔·托罗 Guillermo del Toro,",查理·汉纳姆 Charlie Hunnam,菊地凛子 Rinko Kikuchi,伊德瑞斯·艾尔巴 Idris Elba,查理·戴 Charlie Day",",动作,科幻,冒险",",美国","60410,科幻","41406,美国","34416,机甲","25928,怪兽","23873,灾难","17068,动作","16033,2013",5323968
5,8.0,130409.0,樹大招風,2016,许学文 Frank Hui,",林家栋 Ka Tung Lam,任贤齐 Richie Jen,陈小春 Jordan Chan,黄光亮 Kwong Leung Wong",",动作,犯罪",",香港,中国大陆","20190,香港","18969,犯罪","11473,港片","9678,银河映像","8473,2016","7758,剧情","6314,动作",26265170
6,8.2,314352.0,无人区,2013,宁浩 Hao Ning,",徐峥 Zheng Xu,黄渤 Bo Huang,余男 Nan Yu,多布杰 Duobujie",",剧情,犯罪,西部",",中国大陆","38424,黑色幽默","32372,人性","30180,犯罪","25315,无人区","19234,剧情","13715,黑色","11414,2013",3804891
7,6.3,135186.0,Suicide Squad,2016,大卫·阿耶 David Ayer,",威尔·史密斯 Will Smith,杰瑞德·莱托 Jared Leto,玛格特·罗比 Margot Robbie,乔尔·金纳曼 Joel Kinnaman",",动作,犯罪,奇幻",",美国","15513,DC","14682,美国","11769,超级英雄","11312,漫画改编","10508,科幻","10445,犯罪","10432,动作",3569910
8,7.1,306934.0,心花路放,2014,宁浩 Hao Ning,",黄渤 Bo Huang,徐峥 Zheng Xu,袁泉 Quan Yuan,周冬雨 Dongyu Zhou",",喜剧,爱情",",中国大陆","40385,喜剧","26654,公路","19441,搞笑","14836,爱情","13915,2014","13571,黑色幽默","12084,中国大陆",25717233
9,8.8,489110.0,The Curious Case of Benjamin Button,2008,大卫·芬奇 David Fincher,",凯特·布兰切特 Cate Blanchett,布拉德·皮特 Brad Pitt,朱莉娅·奥蒙德 Julia Ormond,芳妮·A·钱勃丝 Faune A. Chambers",",剧情,爱情,奇幻",",美国","53581,爱情","48553,美国","37955,人生","33354,奇幻","24593,剧情","19679,温情","18990,成长",1485260
10,7.9,272533.0,Captain America: The Winter Soldier,2014,安东尼·卢素 Anthony Russo,",克里斯·埃文斯 Chris Evans,斯嘉丽·约翰逊 Scarlett Johansson,塞巴斯蒂安·斯坦 Sebastian Stan,安东尼·麦凯 Anthony Mackie",",动作,科幻,冒险",",美国","28952,美国","28541,科幻","23625,美国队长","21974,Marvel","21234,超级英雄","17053,动作","12220,2014",6390823
11,8.7,471075.0,The Butterfly Effect,2004,埃里克·布雷斯 Eric Bress,",阿什顿·库彻 Ashton Kutcher,梅罗拉·沃特斯 Melora Walters,艾米·斯马特 Amy Smart,埃尔登·汉森 Elden Henson",",剧情,悬疑,科幻,惊悚",",美国,加拿大","71389,悬疑","53056,心理","46813,科幻","43549,美国","27211,剧情","24328,惊悚","18917,经典",1292343
12,8.8,151542.0,Spotlight,2015,托马斯·麦卡锡 Thomas McCarthy,",马克·鲁弗洛 Mark Ruffalo,迈克尔·基顿 Michael Keaton,瑞秋·麦克亚当斯 Rachel McAdams,列维·施瑞博尔 Liev Schreiber",",剧情,传记",",美国","19844,美国","16899,媒体","15330,剧情","14872,宗教","14057,人性","10946,犯罪","10574,传记",25954475
13,8.7,255113.0,살인의 추억,2003,奉俊昊 Joon-ho Bong,",宋康昊 Kang-ho Song,金相庆 Sang-kyung Kim,金雷河 Roe-ha Kim,宋在河 Jae-ho Song",",犯罪,剧情,悬疑,惊悚",",韩国","42849,悬疑","42394,韩国","38630,犯罪","22279,韩国电影","14902,奉俊昊","13434,宋康昊","13367,杀人回忆",1300299
14,8.4,302706.0,亲爱的,2014,陈可辛 Peter Chan,",赵薇 Wei Zhao,黄渤 Bo Huang,佟大为 Dawei Tong,郝蕾 Lei Hao",",剧情,家庭",",中国大陆,香港","36978,亲情","28504,人性","23803,感人","18785,家庭","17133,中国大陆","15058,剧情","14562,温情",25798222
15,7.3,204019.0,설국열차,2013,奉俊昊 Joon-ho Bong,",克里斯·埃文斯 Chris Evans,杰米·贝尔 Jamie Bell,宋康昊 Kang-ho Song,蒂尔达·斯文顿 Tilda Swinton",",剧情,动作,科幻,灾难",",韩国,捷克,美国,法国","25710,科幻","22513,韩国","16289,人性","13120,奉俊昊","9434,韩国电影","7317,剧情","7262,美国",3071441
16,8.3,390141.0,The King's Speech,2010,汤姆·霍珀 Tom Hooper,",柯林·菲尔斯 Colin Firth,杰弗里·拉什 Geoffrey Rush,海伦娜·邦汉·卡特 Helena Bonham Carter,盖·皮尔斯 Guy Pearce",",剧情,传记,历史",",英国,澳大利亚,美国","65923,英国","55147,励志","34528,传记","31173,剧情","22131,奥斯卡","19714,历史","15624,经典",4023638
17,6.7,180353.0,我不是潘金莲,2016,冯小刚 Xiaogang Feng,",范冰冰 Bingbing Fan,郭涛 Tao Guo,董成鹏 Da Peng,张嘉译 Jiayi Zhang",",剧情,喜剧",",中国大陆","18382,黑色幽默","15217,社会","13592,中国大陆","13172,荒诞","10255,剧情","9146,2016","8483,小说改编",26630781
18,8.5,258075.0,Inglourious Basterds,2009,Quentin Tarantino,",布拉德·皮特 Brad Pitt,梅拉尼·罗兰 Mélanie Laurent,克里斯托弗·沃尔兹 Christoph Waltz,伊莱·罗斯 Eli Roth",",剧情,犯罪",",美国,德国","39297,黑色幽默","27427,美国","26700,二战","18573,暴力","18274,战争","15552,无耻混蛋","11986,剧情",1438652
19,7.6,210942.0,Kung Fu Panda 3,2016,余仁英 Jennifer Yuh,",杰克·布莱克 Jack Black,布莱恩·科兰斯顿 Bryan Cranston,达斯汀·霍夫曼 Dustin Hoffman,安吉丽娜·朱莉 Angelina Jolie",",喜剧,动作,动画,冒险",",美国,中国大陆","26521,动画","16746,功夫熊猫","16530,美国","15576,梦工厂","14651,喜剧","11066,2016","10274,搞笑",11589036
20,8.7,230015.0,心迷宫,2014,忻钰坤 Yukun Xin,",霍卫民 Weimin Huo,王笑天 Xiaotian Wang,罗芸 Yun Luo,杨瑜珍 Yuzhen Yang",",剧情,犯罪,悬疑",",中国大陆","31364,悬疑","25266,犯罪","24374,人性","22155,中国大陆","18411,剧情","16003,黑色幽默","14088,心理",25917973
21,8.3,224040.0,The Hobbit: The Battle of the Five Armies,2014,彼得·杰克逊 Peter Jackson,",马丁·弗瑞曼 Martin Freeman,伊恩·麦克莱恩 Ian McKellen,理查德·阿米蒂奇 Richard Armitage,伊万杰琳·莉莉 Evangeline Lilly",",动作,奇幻,冒险",",美国,新西兰","25809,魔幻","19777,美国","15862,史诗","15839,奇幻","15045,指环王前传","13789,魔戒","9977,冒险",2973079
22,8.0,372314.0,金陵十三钗,2011,张艺谋 Yimou Zhang,",克里斯蒂安·贝尔 Christian Bale,倪妮 Ni Ni,张歆怡 Xin-yi Zhang,黄天元 Tianyuan Huang",",剧情,历史,战争",",中国大陆,香港","59631,战争","48546,南京","40699,人性","33957,中国","31914,女性","30805,历史","17211,感人",3649049
23,8.1,176024.0,师父,2015,徐浩峰 Haofeng Xu,",廖凡 Fan Liao,宋佳 Jia Song,蒋雯丽 Wenli Jiang,金士杰 Shi-Jye Jin",",剧情,动作,武侠",",中国大陆","21796,武侠","19996,动作","13574,廖凡","11914,徐皓峰","9689,中国","9015,中国电影","8626,大陆",25919910
24,8.8,193052.0,Room,2015,伦尼·阿伯拉罕森 Lenny Abrahamson,",布丽·拉尔森 Brie Larson,雅各布·特伦布莱 Jacob Tremblay,琼·艾伦 Joan Allen,肖恩·布里吉格斯 Sean Bridgers",",剧情,家庭",",爱尔兰,加拿大,英国,美国","22951,人性","17159,亲情","17116,剧情","14395,温情","9486,美国","8733,2015","8130,爱尔兰",25724855
25,8.7,394305.0,Identity,2003,James Mangold,",John Cusack,Ray Liotta,Amanda Peet,Alfred Molina",",剧情,悬疑,惊悚",",美国","85876,悬疑","57903,惊悚","56616,心理","36664,美国","35014,犯罪","18801,剧情","17792,人性",1297192
26,9.2,476440.0,Intouchables,2011,奥利维·那卡什 Olivier Nakache,",弗朗索瓦·克鲁塞 François Cluzet,奥玛·赛 Omar Sy,Anne Le Ny,Audrey Fleurot",",剧情,喜剧",",法国","97965,温情","79437,法国","51433,感人","45139,喜剧","41532,法式情怀","29366,剧情","19185,搞笑",6786002
27,8.0,298397.0,Cloud Atlas,2012,汤姆·提克威 Tom Tykwer,",汤姆·汉克斯 Tom Hanks,哈莉·贝瑞 Halle Berry,吉姆·布劳德本特 Jim Broadbent,雨果·维文 Hugo Weaving",",剧情,科幻,悬疑",",德国,美国,香港,中国大陆,新加坡","55201,科幻","35673,美国","23780,人性","21565,剧情","18935,奇幻","17272,史诗","12648,小说改编",3530403
28,7.4,245979.0,寒戰,2012,梁乐民 Longman Leung,",郭富城 Aaron Kwok,梁家辉 Tony Leung Ka Fai,李治廷 Aarif Lee,彭于晏 Eddie Peng",",剧情,动作,犯罪",",香港,中国大陆","39637,警匪","24583,犯罪","20685,悬疑","13702,2012","12266,动作","11535,剧情","4532,人性",6890730
29,8.6,330651.0,Memento,2000,克里斯托弗·诺兰 Christopher Nolan,",盖·皮尔斯 Guy Pearce,凯瑞-安·莫斯 Carrie-Anne Moss,乔·潘托里亚诺 Joe Pantoliano,小马克·布恩 Mark Boone Junior",",犯罪,剧情,悬疑,惊悚",",美国","68519,悬疑","35268,美国","22568,剧情","21460,失忆","15647,惊悚","12607,记忆","11552,心理",1304447
30,8.7,407438.0,重慶森林,1994,王家卫 Kar Wai Wong,",林青霞 Brigitte Lin,金城武 Takeshi Kaneshiro,梁朝伟 Tony Leung Chiu Wai,王菲 Faye Wong",",剧情,爱情",",香港","91234,王家卫","41009,王菲","37307,重庆森林","37159,梁朝伟","36557,爱情","36064,香港","27475,香港电影",1291999
31,8.3,293269.0,Mission: Impossible - Ghost Protocol,2011,布拉德·伯德 Brad Bird,",汤姆·克鲁斯 Tom Cruise,杰瑞米·雷纳 Jeremy Renner,西蒙·佩吉 Simon Pegg,宝拉·巴顿 Paula Patton",",动作,惊悚,冒险",",美国,阿联酋,捷克,俄罗斯,印度,加拿大","47835,动作","37664,碟中谍","36592,美国","32886,特工","14676,间谍","10561,2011","10540,冒险",3068206
32,8.6,405967.0,喜劇之王,1999,周星驰 Stephen Chow,",周星驰 Stephen Chow,张柏芝 Cecilia Cheung,莫文蔚 Karen Mok,吴孟达 Man Tat Ng",",喜剧,剧情,爱情",",香港","76508,周星驰","47099,喜剧","33361,香港","26293,张柏芝","24390,香港电影","23496,爱情","22650,喜剧之王",1302425
33,5.9,247578.0,煎饼侠,2015,董成鹏 Da Peng,",董成鹏 Da Peng,袁姗姗 Mabel Yuan,柳岩 Yan Liu,吴君如 Sandra Ng",",喜剧",",中国大陆","27006,喜剧","17900,搞笑","11803,中国大陆","11306,小人物","11071,2015","10641,励志","9346,梦想",25895276
34,8.6,436347.0,Pirates of the Caribbean: The Curse of the Black Pearl,2003,戈尔·维宾斯基 Gore Verbinski,",约翰尼·德普 Johnny Depp,杰弗里·拉什 Geoffrey Rush,奥兰多·布鲁姆 Orlando Bloom,凯拉·奈特莉 Keira Knightley",",动作,冒险,奇幻",",美国","42842,加勒比海盗","37681,美国","34410,魔幻","32753,海盗","28655,奇幻","20919,动作","14813,冒险",1298070
35,7.6,416809.0,中国合伙人,2013,陈可辛 Peter Chan,",黄晓明 Xiaoming Huang,邓超 Chao Deng,佟大为 Dawei Tong,杜鹃 Juan Du",",剧情",",中国大陆,香港","66311,励志","52612,青春","48967,梦想","40120,创业","28155,成长","17694,人生","17489,2013",11529526
36,8.0,282120.0,Rise of the Planet of the Apes,2011,鲁伯特·瓦耶特 Rupert Wyatt,",詹姆斯·弗兰科 James Franco,安迪·瑟金斯 Andy Serkis,汤姆·费尔顿 Tom Felton,芙蕾达·平托 Freida Pinto",",剧情,动作,科幻",",美国","54567,科幻","39198,美国","26845,人性","13343,2011","12452,动作","10550,剧情","8917,温情",3274505
37,5.6,250359.0,港囧,2015,徐峥 Zheng Xu,",徐峥 Zheng Xu,赵薇 Wei Zhao,包贝尔 Bei'Er Bao,杜鹃 Juan Du",",喜剧",",中国大陆","26629,喜剧","18961,徐铮","14141,搞笑","11757,2015","10886,中国大陆","9836,香港","7587,爱情",25710912
38,8.5,366113.0,Love Actually,2003,理查德·柯蒂斯 Richard Curtis,",休·格兰特 Hugh Grant,柯林·菲尔斯 Colin Firth,艾玛·汤普森 Emma Thompson,凯拉·奈特莉 Keira Knightley",",喜剧,剧情,爱情",",英国,美国,法国","70860,爱情","51202,英国","36847,喜剧","36233,温情","29417,圣诞","25583,浪漫","17117,经典",1292401
39,7.3,133674.0,Jason Bourne,2016,保罗·格林格拉斯 Paul Greengrass,",马特·达蒙 Matt Damon,汤米·李·琼斯 Tommy Lee Jones,艾丽西亚·维坎德 Alicia Vikander,文森特·卡索 Vincent Cassel",",动作,悬疑,惊悚",",美国","15693,动作","14326,特工","14231,美国","9379,间谍","8392,2016","6615,悬疑","5967,经典",26266072
40,9.2,449238.0,The Godfather,1972,弗朗西斯·福特·科波拉 Francis Ford Coppola,",马龙·白兰度 Marlon Brando,阿尔·帕西诺 Al Pacino,詹姆斯·肯恩 James Caan,理查德·卡斯特尔诺 Richard S. Castellano",",剧情,犯罪",",美国","78779,黑帮","77529,经典","49517,美国","39151,犯罪","29458,剧情","22141,黑社会","15981,人性",1291841
41,8.9,360153.0,The Matrix,1999,安迪·沃卓斯基 Andy Wachowski,",基努·李维斯 Keanu Reeves,凯瑞-安·莫斯 Carrie-Anne Moss,劳伦斯·菲什伯恩 Laurence Fishburne,雨果·维文 Hugo Weaving",",动作,科幻",",美国,澳大利亚","72785,科幻","38670,美国","35764,动作","31905,经典","30239,黑客帝国","20415,哲学","9519,1999",1291843
42,8.2,187614.0,Argo,2012,本·阿弗莱克 Ben Affleck,",本·阿弗莱克 Ben Affleck,布莱恩·科兰斯顿 Bryan Cranston,凯尔·钱德勒 Kyle Chandler,约翰·古德曼 John Goodman",",剧情,惊悚,历史",",美国","33372,美国","26435,政治","22323,剧情","16067,伊朗","12329,特工","8902,2012","8470,悬疑",6549903
43,8.2,256197.0,The Hobbit: An Unexpected Journey,2012,彼得·杰克逊 Peter Jackson,",伊恩·麦克莱恩 Ian McKellen,马丁·弗瑞曼 Martin Freeman,理查德·阿米蒂奇 Richard Armitage,肯·斯托特 Ken Stott",",动作,奇幻,冒险",",美国,新西兰","38828,魔幻","27148,魔戒","24885,美国","22700,奇幻","19406,史诗","18686,冒险","15738,指环王",1966182
