,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,9.2,741372.0,Zootopia,2016,拜伦·霍华德 Byron Howard,",金妮弗·古德温 Ginnifer Goodwin,杰森·贝特曼 Jason Bateman,伊德里斯·艾尔巴 Idris Elba,珍妮·斯蕾特 Jenny Slate",",喜剧,动画,冒险",",美国","98305,动画","76337,迪士尼","57258,喜剧","55926,美国","49695,动物","47824,搞笑","46784,Disney",25662329
1,8.3,444096.0,부산행,2016,延尚昊 Sang-ho Yeon,",孔侑 Yoo Gong,郑有美 Yu-mi Jung,马东锡 Tong-Seok Ma,金秀安 Soo-an Kim",",动作,惊悚,灾难",",韩国","79791,丧尸","77683,韩国","73397,人性","58755,灾难","37894,惊悚","29786,恐怖","28679,2016",25986180
2,9.3,992792.0,Inception,2010,克里斯托弗·诺兰 Christopher Nolan,",莱昂纳多·迪卡普里奥 Leonardo DiCaprio,约瑟夫·高登-莱维特 Joseph Gordon-Levitt,艾伦·佩吉 Ellen Page,汤姆·哈迪 Tom Hardy",",剧情,科幻,悬疑,冒险",",美国,英国","170067,科幻","131702,悬疑","122358,美国","118108,心理","70242,剧情","62976,经典","44311,哲学",3541415
3,9.2,672764.0,Interstellar,2014,克里斯托弗·诺兰 Christopher Nolan,",马修·麦康纳 Matthew McConaughey,安妮·海瑟薇 Anne Hathaway,杰西卡·查斯坦 Jessica Chastain,卡西·阿弗莱克 Casey Affleck",",剧情,科幻,冒险",",美国,英国,加拿大,冰岛","135644,科幻","64024,美国","62453,太空","57490,宇宙","43536,人性","36205,冒险","35477,亲情",1889243
4,8.3,438664.0,La La Land,2016,达米恩·查泽雷 Damien Chazelle,",瑞恩·高斯林 Ryan Gosling,艾玛·斯通 Emma Stone,约翰·传奇 John Legend,罗丝玛丽·德薇特 Rosemarie DeWitt",",剧情,爱情,歌舞",",美国","70697,爱情","60554,歌舞","47244,音乐","44929,梦想","42609,美国","40147,文艺","39348,浪漫",25934014
5,8.7,445817.0,Gone Girl,2014,大卫·芬奇 David Fincher,",本·阿弗莱克 Ben Affleck,罗莎蒙德·派克 Rosamund Pike,尼尔·帕特里克·哈里斯 Neil Patrick Harris,凯莉·库恩 Carrie Coon",",剧情,犯罪,悬疑,惊悚",",美国","66866,悬疑","43221,美国","37128,人性","33414,犯罪","32525,剧情","29769,心理","27136,惊悚",21318488
6,7.8,469747.0,老炮儿,2015,管虎 Hu Guan,",冯小刚 Xiaogang Feng,许晴 Summer Xu,张涵予 Hanyu Zhang,刘桦 Hua Liu",",剧情,犯罪",",中国大陆","38540,北京","35901,老炮儿","31578,社会","29015,剧情","26512,人性","25342,父子情","25323,中国大陆",24751756
7,9.4,1139269.0,Léon,1994,吕克·贝松 Luc Besson,",让·雷诺 Jean Reno,娜塔莉·波特曼 Natalie Portman,加里·奥德曼 Gary Oldman,丹尼·爱罗 Danny Aiello",",剧情,动作,犯罪",",法国","177670,经典","112193,温情","108643,爱情","78911,人性","67254,剧情","51465,动作","51326,犯罪",1295644
8,9.0,733620.0,Life of Pi,2012,李安 Ang Lee,",苏拉·沙玛 Suraj Sharma,伊尔凡·可汗 Irrfan Khan,拉菲·斯波 Rafe Spall,阿迪勒·侯赛因 Adil Hussain",",剧情,奇幻,冒险",",美国,台湾,英国,加拿大","129680,奇幻","88935,人性","87061,冒险","49666,美国","42740,人生","41310,3D","35342,剧情",1929463
9,8.7,396392.0,Hacksaw Ridge,2016,梅尔·吉布森 Mel Gibson,",安德鲁·加菲尔德 Andrew Garfield,萨姆·沃辛顿 Sam Worthington,文斯·沃恩 Vince Vaughn,雨果·维文 Hugo Weaving",",剧情,传记,历史,战争",",美国,澳大利亚","68780,战争","50469,信仰","49814,真实事件改编","46465,美国","44253,二战","36562,人性","30928,历史",26325320
