,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,7.7,266504.0,Iron Man 3,2013,沙恩·布莱克 Shane Black,",小罗伯特·唐尼 Robert Downey Jr.,盖·皮尔斯 Guy Pearce,格温妮斯·帕特洛 Gwyneth Paltrow,本·金斯利 Ben Kingsley",",动作,科幻",",美国,中国大陆","33921,科幻","31980,钢铁侠","29495,美国","19209,动作","17928,超级英雄","14981,MARVEL","12820,2013",3231742
1,8.7,342317.0,Harry Potter and the Deathly Hallows: Part 2,2011,大卫·叶茨 David Yates,",丹尼尔·雷德克里夫 Daniel Radcliffe,艾玛·沃森 Emma Watson,鲁伯特·格林特 Rupert Grint,海伦娜·邦汉·卡特 Helena Bonham Carter",",剧情,悬疑,奇幻,冒险",",美国,英国","48430,魔幻","28038,英国","21489,成长","17825,奇幻","17338,美国","15894,青春","15759,2011",3011235
2,9.1,364798.0,The Lord of the Rings: The Return of the King,2003,彼得·杰克逊 Peter Jackson,",维果·莫腾森 Viggo Mortensen,伊利亚·伍德 Elijah Wood,西恩·奥斯汀 Sean Astin,丽芙·泰勒 Liv Tyler",",剧情,动作,奇幻,冒险",",美国,新西兰","67592,魔幻","53215,史诗","36421,经典","34063,美国","17176,战争","12321,奥斯卡","11633,新西兰",1291552
3,8.8,364530.0,Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,",Daniel Radcliffe,Emma Watson,Rupert Grint,Alan Rickman",",奇幻,冒险",",美国,英国","48503,哈利波特","41626,魔幻","21694,英国","21097,奇幻","19985,美国","14265,harrypotter","12602,经典",1295038
4,7.8,334725.0,2012,2009,Roland Emmerich,",约翰·库萨克 John Cusack,切瓦特·埃加福特 Chiwetel Ejiofor,阿曼达·皮特 Amanda Peet,桑迪·牛顿 Thandie Newton",",动作,科幻,冒险,灾难",",美国,加拿大","80610,灾难","43578,美国","19000,震撼","17106,人性","12191,2009","7845,亲情","6203,感动",3005875
5,8.1,235997.0,Kill Bill: Vol. 1,2003,昆汀·塔伦蒂诺 Quentin Tarantino,",乌玛·瑟曼 Uma Thurman,刘玉玲 Lucy Liu,薇薇卡·福克斯 Vivica A. Fox,达丽尔·汉纳 Daryl Hannah",",动作,犯罪,惊悚",",美国","29362,暴力","24061,动作","23449,美国","9960,暴力美学","6645,2003","6127,血腥","5845,犯罪",1291580
6,8.2,223013.0,The Hobbit: The Desolation of Smaug,2013,彼得·杰克逊 Peter Jackson,",伊恩·麦克莱恩 Ian McKellen,马丁·弗瑞曼 Martin Freeman,理查德·阿米蒂奇 Richard Armitage,本尼迪克特·康伯巴奇 Benedict Cumberbatch",",动作,奇幻,冒险",",美国,新西兰","28490,魔幻","21409,魔戒","20429,美国","19038,史诗","18436,奇幻","7435,2013","7145,美国电影",11606328
7,8.3,301950.0,色，戒,2007,李安 Ang Lee,",梁朝伟 Tony Leung Chiu Wai,汤唯 Wei Tang,陈冲 Joan Chen,王力宏 Lee-Hom Wang",",剧情,爱情,情色",",台湾,中国大陆,美国,香港","28877,张爱玲","25234,情色","22688,爱情","16126,文艺","15506,人性","14739,剧情","12955,台湾",1828115
8,7.3,199111.0,白日焰火,2014,刁亦男 Yi'nan Diao,",廖凡 Fan Liao,桂纶镁 Lunmei Kwai,王学兵 Xuebing Wang,王景春 Jingchun Wang",",剧情,犯罪,悬疑",",中国大陆","22402,犯罪","21257,悬疑","13598,中国电影","12476,文艺","9062,2014","8660,剧情","8586,金熊奖",21941804
9,7.7,80514.0,Elle,2016,保罗·范霍文 Paul Verhoeven,",伊莎贝尔·于佩尔 Isabelle Huppert,罗兰·拉斐特 Laurent Lafitte,安妮·康斯金尼 Anne Consigny,查尔斯·贝尔林 Charles Berling",",剧情,惊悚",",法国,德国,比利时","13588,法国","7016,剧情","6977,女性","6933,女权","6606,悬疑","5985,犯罪","5643,2016",26022182
10,8.5,228996.0,Les Misérables,2012,汤姆·霍珀 Tom Hooper,",休·杰克曼 Hugh Jackman,罗素·克劳 Russell Crowe,安妮·海瑟薇 Anne Hathaway,阿曼达·塞弗里德 Amanda Seyfried",",剧情,爱情,音乐",",美国,英国","49123,音乐剧","29023,名著改编","18468,美国","14201,音乐","14158,文艺","12519,剧情","11352,英国",6860160
11,6.7,289796.0,大鱼海棠,2016,梁旋 Xuan Liang,",季冠霖 Guanlin Ji,苏尚卿 Shangqing Su,许魏洲 Weizhou Xu,金士杰 King Shih-Chieh",",剧情,动画,奇幻",",中国大陆","46140,动画","31305,国产","26045,大鱼海棠","24412,中国","18741,奇幻","17636,神话","15298,文艺",5045678
12,9.1,372488.0,Nuovo Cinema Paradiso,1988,朱塞佩·托纳多雷 Giuseppe Tornatore,",安东娜拉·塔莉 Antonella Attili,恩佐·卡拉瓦勒 Enzo Cannavale,艾萨·丹尼埃利 Isa Danieli,里奥·故罗塔 Leo Gullotta",",剧情,爱情",",意大利,法国","61120,意大利","56147,经典","49495,成长","42653,天堂电影院","25862,托纳多雷","25435,剧情","24530,意大利电影",1291828
13,9.0,356460.0,Dead Poets Society,1989,彼得·威尔 Peter Weir,",罗宾·威廉姆斯 Robin Williams,罗伯特·肖恩·莱纳德 Robert Sean Leonard,伊桑·霍克 Ethan Hawke,乔西·查尔斯 Josh Charles",",剧情",",美国","50530,成长","43257,青春","40753,美国","38854,励志","38518,教育","32933,经典","27655,死亡诗社",1291548
14,8.3,266050.0,Mulholland Dr.,2001,大卫·林奇 David Lynch,",娜奥米·沃茨 Naomi Watts,劳拉·哈灵 Laura Harring,安·米勒 Ann Miller,贾斯汀·塞洛克斯 Justin Theroux",",剧情,悬疑,惊悚",",法国,美国","62045,悬疑","31432,心理","25597,美国","20259,经典","9421,惊悚","7376,剧情","6100,同性",1292217
15,8.0,301600.0,Kung Fu Panda 2,2011,詹妮弗·余 Jennifer Yuh,",杰克·布莱克 Jack Black,安吉丽娜·朱莉 Angelina Jolie,达斯汀·霍夫曼 Dustin Hoffman,加里·奥德曼 Gary Oldman",",喜剧,动作,动画,冒险",",美国","62512,动画","37932,美国","32083,梦工厂","22065,搞笑","21775,喜剧","16183,3D","12033,2011",3233635
16,9.0,490102.0,Roman Holiday,1953,威廉·惠勒 William Wyler,",奥黛丽·赫本 Audrey Hepburn,格利高里·派克 Gregory Peck,埃迪·艾伯特 Eddie Albert,哈特利·鲍尔 Hartley Power",",喜剧,剧情,爱情",",美国","109134,奥黛丽·赫本","87307,经典","85333,爱情","46273,浪漫","41024,罗马假日","33064,美国","20778,美国电影",1293839
17,8.8,184440.0,Relatos salvajes,2014,达米安·斯兹弗隆 Damián Szifron,",达里奥·葛兰帝内提 Darío Grandinetti,玛丽娅·玛努尔 María Marull,莫妮卡·维拉 Mónica Villa,丽塔·科尔泰塞 Rita Cortese",",剧情,喜剧,犯罪",",阿根廷,西班牙","29713,黑色幽默","16654,阿根廷","13123,人性","12751,喜剧","11493,剧情","10634,黑色","8822,西班牙",24750126
18,8.3,151074.0,Carol,2015,托德·海因斯 Todd Haynes,",凯特·布兰切特 Cate Blanchett,鲁妮·玛拉 Rooney Mara,凯尔·钱德勒 Kyle Chandler,杰克·莱西 Jake Lacy",",剧情,爱情,同性",",英国,美国","26280,同性","20860,爱情","13745,文艺","11390,美国","9544,凯特·布兰切特","8999,英国","8682,剧情",10757577
