,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,6.5,158833.0,Resident Evil: The Final Chapter,2016,保罗·安德森 Paul W.S. Anderson,",米拉·乔沃维奇 Milla Jovovich,伊恩·格雷 Iain Glen,艾丽·拉特 Ali Larter,鲁比·罗丝 Ruby Rose",",动作,科幻,恐怖",",美国","22556,丧尸","18706,美国","18536,科幻","17612,动作","12996,惊悚","11106,僵尸","10215,游戏改编",20471852
1,8.6,304246.0,"Monsters, Inc.",2001,彼特·道格特 Pete Docter,",约翰·古德曼 John Goodman,比利·克里斯托 Billy Crystal,玛丽·吉布斯 Mary Gibbs,史蒂夫·布西密 Steve Buscemi",",儿童,喜剧,动画,奇幻,冒险",",美国","48355,动画","26947,美国","25931,迪斯尼","20094,喜剧","18410,pixar","12416,动画片","8560,美国电影",1291579
2,7.3,163034.0,The Hunger Games: Catching Fire,2013,弗朗西斯·劳伦斯 Francis Lawrence,",詹妮弗·劳伦斯 Jennifer Lawrence,乔什·哈切森 Josh Hutcherson,利亚姆·海姆斯沃斯 Liam Hemsworth,伍迪·哈里森 Woody Harrelson",",动作,科幻,冒险",",美国","18531,美国","17848,科幻","13143,饥饿游戏","9354,动作","8249,小说改编","7472,2013","5744,剧情",6874456
3,7.6,251105.0,Transformers: Revenge of the Fallen,2009,迈克尔·贝 Michael Bay,",希亚·拉博夫 Shia LaBeouf,梅根·福克斯 Megan Fox,乔什·杜哈明 Josh Duhamel,雨果·维文 Hugo Weaving",",动作,科幻",",美国","44360,科幻","32596,美国","19966,动作","10832,大片","10370,2009","8057,漫画改编","5689,梦工厂",2146991
4,7.7,148017.0,Silver Linings Playbook,2012,大卫·欧·拉塞尔 David O. Russell,",布莱德利·库珀 Bradley Cooper,詹妮弗·劳伦斯 Jennifer Lawrence,罗伯特·德尼罗 Robert De Niro,杰基·韦佛 Jacki Weaver",",剧情,喜剧,爱情,家庭",",美国","26902,爱情","22381,美国","10612,喜剧","10532,温情","7820,剧情","6664,2012","6199,励志",3094909
5,7.1,237056.0,Transformers: Dark of the Moon,2011,迈克尔·贝 Michael Bay,",希亚·拉博夫 Shia LaBeouf,罗茜·汉丁顿-惠特莉 Rosie Huntington-Whiteley,乔什·杜哈明 Josh Duhamel,泰瑞斯·吉布森 Tyrese Gibson",",动作,科幻",",美国","40548,变形金刚","37624,科幻","30881,美国","17534,3D","16773,动作","11264,2011","8610,大片",3610047
6,9.0,426074.0,天空の城ラピュタ,1986,宫崎骏 Hayao Miyazaki,",田中真弓 Mayumi Tanaka,横泽启子 Keiko Yokozawa,初井言荣 Kotoe Hatsui,寺田农 Minori Terada",",动画,奇幻,冒险",",日本","100250,宫崎骏","54650,动画","46274,天空之城","45143,日本","26628,动漫","23990,日本动画","23204,宮崎駿",1291583
7,4.0,170314.0,摆渡人,2016,张嘉佳 Jiajia Zhang,",梁朝伟 Tony Leung Chiu Wai,金城武 Takeshi Kaneshiro,陈奕迅 Eason Chan,杨颖 Angelababy",",喜剧,爱情",",中国大陆,香港","19904,烂片","9582,喜剧","9283,爱情","8405,文艺","6925,2016","6894,搞笑","5993,小说改编",25911694
8,8.5,367142.0,Pride & Prejudice,2005,乔·怀特 Joe Wright,",凯拉·奈特莉 Keira Knightley,马修·麦克费登 Matthew Macfadyen,唐纳德·萨瑟兰 Donald Sutherland,布兰达·布莱斯 Brenda Blethyn",",剧情,爱情",",法国,英国,美国","59308,爱情","48260,傲慢与偏见","44534,英国","41146,经典","36026,名著改编","20300,英国电影","17172,KeiraKnightley",1418200
9,7.1,73821.0,The Shallows,2016,佐米·希尔拉 Jaume Collet-Serra,",布蕾克·莱弗利 Blake Lively,奥斯卡·贾恩那达 Óscar Jaenada,布莱特·卡伦 Brett Cullen,塞多纳·利 Sedona Legge",",惊悚,冒险",",美国","8398,惊悚","7679,美国","6705,生存","6491,冒险","4958,灾难","4903,鲨鱼","4518,2016",26000205
10,7.3,127001.0,Rogue One: A Star Wars Story,2016,加里斯·爱德华斯 Gareth Edwards,",费莉西蒂·琼斯 Felicity Jones,迭戈·鲁纳 Diego Luna,甄子丹 Donnie Yen,本·门德尔森 Ben Mendelsohn",",动作,科幻,冒险",",美国","19346,科幻","18621,星球大战","12855,美国","7923,动作","6969,StarWar","6348,冒险","6224,2016",25894431
11,7.7,238333.0,十月围城,2009,陈德森 Teddy Chan,",甄子丹 Donnie Yen,王学圻 Xueqi Wang,梁家辉 Tony Leung Ka Fai,胡军 Jun Hu",",动作,剧情,历史",",香港,中国大陆","30286,香港","25666,动作","22507,历史","10712,剧情","9095,感人","8813,2009","4055,内地",3626416
12,8.8,157752.0,En man som heter Ove,2015,汉内斯·赫尔姆 Hannes Holm,",罗夫·拉斯加德 Rolf Lassgård,巴哈·帕斯 Bahar Pars,托比亚斯·阿姆博瑞 Tobias Almborg,菲利普·伯格 Filip Berg",",剧情",",瑞典","24065,温情","22087,瑞典","17740,人生","14109,剧情","13021,人性","12748,感动","7757,感人",26628357
