,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,7.7,36677.0,Nymphomaniac: Volume II,2013,拉斯·冯·提尔 Lars von Trier,",夏洛特·甘斯布 Charlotte Gainsbourg,斯特兰·斯卡斯加德 Stellan Skarsgård,斯塔西·马汀 Stacy Martin,希亚·拉博夫 Shia LaBeouf",",剧情,情色",",丹麦,德国,比利时,英国,法国,瑞典","5936,情色","4093,丹麦","3628,人性","2575,剧情","2567,女性","2416,拉斯·冯·提尔","1923,2013",10792650
1,8.1,33098.0,家族はつらいよ,2016,山田洋次 Yôji Yamada,",桥爪功 Isao Hashizume,吉行和子 Kazuko Yoshiyuki,西村雅彦 Masahiko Nishimura,夏川结衣 Yui Natsukawa",",喜剧,家庭",",日本","7918,日本","5126,家庭","3709,喜剧","2943,温情","2897,亲情","2581,2016","1925,剧情",26020796
2,7.5,92652.0,Hitch,2005,安迪·坦纳特 Andy Tennant,",威尔·史密斯 Will Smith,伊娃·门德斯 Eva Mendes,凯文·詹姆斯 Kevin James,安贝·瓦莱塔 Amber Valletta",",喜剧,爱情",",美国","15860,喜剧","13726,爱情","13184,WillSmith","10343,美国","6092,威尔·史密斯","5081,美国电影","3011,搞笑",1309020
3,8.0,61321.0,Rise of the Guardians,2012,彼得·拉姆齐 Peter Ramsey,",克里斯·派恩 Chris Pine,休·杰克曼 Hugh Jackman,艾拉·菲舍尔 Isla Fisher,裘德·洛 Jude Law",",动画,家庭,奇幻,冒险",",美国","14811,动画","9956,梦工厂","8271,美国","5663,奇幻","3459,2012","3228,儿童","2824,成长",3769423
4,5.9,47535.0,魔警,2014,林超贤 Dante Lam,",吴彦祖 Daniel Wu,张家辉 Nick Cheung,陈思璇 Sixuan Chen,安志杰 Andy On",",动作,犯罪,悬疑,惊悚",",香港,中国大陆","5610,吴彦祖","5257,香港","5123,张家辉","4751,犯罪","3549,香港电影","3534,悬疑","2275,林超贤",20515977
5,7.5,89050.0,赌侠,1990,王晶 Jing Wong,",刘德华 Andy Lau,周星驰 Stephen Chow,向华强 Charles Heung,张敏 Sharla Cheung",",剧情,喜剧",",香港","15662,周星驰","10224,喜剧","9585,香港","6417,刘德华","5827,香港电影","4521,王晶","3510,搞笑",1300566
6,8.1,78795.0,Enemy of the State,1998,Tony Scott,",威尔·史密斯 Will Smith,吉恩·哈克曼 Gene Hackman,强·沃特 Jon Voight,莉莎·博内特 Lisa Bonet",",动作,剧情,惊悚",",美国","12134,WillSmith","10672,美国","9946,动作","6359,政治","5481,剧情","4921,美国电影","2928,国家公敌",1297544
7,6.7,48809.0,Ice Age: Collision Course,2016,麦克·特米尔 Mike Thurmeier,",西蒙·佩吉 Simon Pegg,洁茜J  Jessie J,杰西·泰勒·弗格森 Jesse Tyler Ferguson,克里斯·韦奇 Chris Wedge",",喜剧,动画,冒险",",美国","8452,动画","4929,美国","4030,喜剧","3310,搞笑","3085,2016","2818,冒险","2034,温情",25797778
8,7.9,81602.0,孔雀,2005,顾长卫 Changwei Gu,",张静初 Jingchu Zhang,冯砾 Li Feng,吕聿来 Yulai Lu,黄梅莹 Meiying Huang",",剧情,家庭",",中国大陆","16442,顾长卫","10589,文艺","10115,张静初","6822,孔雀","6704,中国电影","6410,青春","5307,大陆",1309004
9,7.9,48541.0,비열한 거리,2006,柳河 Ha Yu,",赵寅成 In-seong Jo,李宝英 Bo-young Lee,千浩振 Ho-jin Jeon,南宫民 Gung-Min Nam",",动作,犯罪,惊悚",",韩国","8120,韩国","7480,黑帮","4594,韩国电影","4195,赵寅成","3912,犯罪","2448,黑社会","2123,卑劣的街头",1827713
