,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,7.6,90903.0,"New York, I Love You",2009,法提赫·阿金 Fatih Akin,",Hayden Christensen,Natalie Portman,Orlando Bloom,Christina Ricci",",剧情,爱情",",美国","16571,美国","12393,短片集","10468,文艺","9243,爱情","8435,城市","3632,2009","2811,剧情",2334814
1,8.1,123920.0,Tais-toi!,2003,Francis Veber,",Gérard Depardieu,Jean Reno,Richard Berry,André Dussollier",",喜剧,犯罪",",法国,意大利","25797,喜剧","22135,法国","17773,让·雷诺","10272,搞笑","9884,法国电影","4746,经典","4468,你丫闭嘴",1303815
2,9.3,62490.0,Piper,2016,艾伦·巴利拉罗 Alan Barillaro,None,",动画,短片",",美国","10206,短片","9608,动画","7205,皮克斯","6735,萌","5846,美国","5301,成长","4125,2016",26766869
3,7.8,124283.0,Closer,2004,迈克·尼科尔斯 Mike Nichols,",朱莉娅·罗伯茨 Julia Roberts,裘德·洛 Jude Law,娜塔莉·波特曼 Natalie Portman,克里夫·欧文 Clive Owen",",剧情,爱情",",美国,英国","23724,爱情","15372,美国","13173,NataliePortman","9690,JuliaRoberts","8532,judelaw","8308,人性","6996,美国电影",1308974
4,8.7,76373.0,Chicago,2002,罗伯·马歇尔 Rob Marshall,",蕾妮·泽尔维格 Renée Zellweger,凯瑟琳·泽塔-琼斯 Catherine Zeta-Jones,理查·基尔 Richard Gere,奎恩·拉提法 Queen Latifah",",喜剧,歌舞,犯罪",",美国,德国","11933,美国","9959,歌舞","7348,歌舞片","5531,音乐剧","4916,美国电影","4778,歌舞剧","3662,2002",1307697
5,8.5,79185.0,Rear Window,1954,Alfred Hitchcock,",James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter",",悬疑,惊悚",",美国","19995,希区柯克","15653,悬疑","9955,美国","7484,经典","5215,惊悚","4262,美国电影","3910,1954",1299080
6,8.0,81824.0,Natural Born Killers,1994,奥利佛·斯通 Oliver Stone,",伍迪·哈里森 Woody Harrelson,朱丽叶特·刘易斯 Juliette Lewis,汤姆·塞兹摩尔 Tom Sizemore,汤米·李·琼斯 Tommy Lee Jones",",动作,犯罪,剧情,爱情,惊悚",",美国","15192,暴力","11842,美国","11732,犯罪","6585,人性","4376,经典","3389,昆汀","2213,爱情",1292229
7,6.9,108919.0,Night at the Museum: Battle of the Smithsonian,2009,肖恩·利维 Shawn Levy,",本·斯蒂勒 Ben Stiller,艾米·亚当斯 Amy Adams,欧文·威尔逊 Owen Wilson,汉克·阿扎利亚 Hank Azaria",",喜剧,动作,奇幻,冒险",",美国,加拿大","15170,喜剧","11337,美国","10263,奇幻","6888,博物馆之夜2","6042,美国电影","4173,科幻","3927,2009",2257732
8,6.2,29089.0,Under the Skin,2013,乔纳森·格雷泽 Jonathan Glazer,",斯嘉丽·约翰逊 Scarlett Johansson,杰里米·麦克威廉姆斯 Jeremy McWilliams,琳西·泰勒·麦凯 Lynsey Taylor Mackay,道基·麦康奈尔 Dougie McConnell",",科幻,恐怖",",英国,美国,瑞士","5075,科幻","2724,英国","2643,美国","2496,惊悚","1836,2013","1521,悬疑","1437,文艺",3749974
9,7.5,42464.0,The Equalizer,2014,安东尼·福奎阿 Antoine Fuqua,",丹泽尔·华盛顿 Denzel Washington,马尔顿·索克斯 Marton Csokas,科洛·莫瑞兹 Chloë Moretz,大卫·哈伯 David Harbour",",动作,犯罪,惊悚",",美国","7972,动作","6285,美国","5638,犯罪","3832,暴力","3191,特工","2515,2014","1958,剧情",3012013
10,6.2,26084.0,Crimson Peak,2015,吉尔莫·德尔·托罗 Guillermo del Toro,",米娅·华希科沃斯卡 Mia Wasikowska,汤姆·希德勒斯顿 Tom Hiddleston,杰西卡·查斯坦 Jessica Chastain,查理·汉纳姆 Charlie Hunnam",",剧情,悬疑,惊悚",",美国,加拿大","3284,惊悚","3007,美国","2577,哥特","2560,恐怖","2262,抖森","2206,悬疑","1960,2015",23424586
11,7.9,105362.0,苏州河,2000,娄烨 Ye Lou,",周迅 Xun Zhou,贾宏声 Jia Hongshen,华仲凯,姚安濂 Anlian Yao",",剧情,爱情",",中国大陆,德国","19266,娄烨","17849,周迅","14595,文艺","11924,爱情","9959,苏州河","6797,中国电影","6032,大陆",1299661
12,7.3,119710.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,安德鲁·亚当森 Andrew Adamson,",Georgie Henley,Skandar Keynes,William Moseley,Anna Popplewell",",剧情,奇幻,冒险",",英国,美国","21068,魔幻","13631,纳尼亚传奇","12173,美国","10292,奇幻","8869,童话","6014,美国电影","4814,儿童",1309052
